Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
IDEA,2019-03-27,17.18,2020-06-03,8.1,-9.08,-52.85,434,-44.45
LUPIN,2019-03-27,723.7,2020-04-13,826.05,102.35,14.14,383,13.48
ALKEM,2019-04-16,1715.85,2019-10-30,1977,261.15,15.22,197,28.2
MRF,2019-04-30,52905,2019-12-30,66252.4,13347.4,25.23,244,37.74
BHARATFORG,2019-05-10,456.4,2020-01-14,518.8,62.4,13.67,249,20.04
YESBANK,2019-05-13,154.7,2022-04-07,15.55,-139.15,-89.95,1060,-30.97
LTF,2019-05-13,106.96,2021-01-01,90.22,-16.74,-15.65,599,-9.54
ESCORTS,2019-05-15,549.95,2020-02-03,847.15,297.2,54.04,264,74.71
PAGEIND,2019-05-27,19692.1,2019-10-31,25750.9,6058.8,30.77,157,71.54
OFSS,2019-06-06,3338.9,2020-07-20,3191.35,-147.55,-4.42,410,-3.93
AUROPHARMA,2019-06-14,616.9,2020-05-04,653.3,36.4,5.9,325,6.63
BALKRISIND,2019-06-17,753.85,2020-01-09,1028.8,274.95,36.47,206,64.62
SUZLON,2019-06-19,3.08,2020-06-10,4.13,1.05,34.09,357,34.85
M&MFIN,2019-07-23,207.39,2021-01-04,185.45,-21.94,-10.58,531,-7.27
ASHOKLEY,2019-07-23,75,2020-11-10,91.05,16.05,21.4,476,16.41
SAIL,2019-07-24,43.6,2020-11-27,48.45,4.85,11.12,492,8.25
GMRINFRA,2019-07-24,13.06,2019-10-29,18.74,5.68,43.49,97,163.65
PERSISTENT,2019-07-29,267.48,2019-12-06,345.2,77.72,29.06,130,81.59
BHEL,2019-07-30,57.75,2021-02-25,47.15,-10.6,-18.35,576,-11.63
INDUSTOWER,2019-07-31,245.75,2020-12-09,246.4,0.65,0.26,497,0.19
DIXON,2019-08-05,380.99,2019-08-28,538.57,157.58,41.36,23,656.37
CUMMINSIND,2019-08-07,652.5,2020-12-09,590.75,-61.75,-9.46,490,-7.05
TATACOMM,2019-08-13,275.34,2019-11-27,412.3,136.96,49.74,106,171.27
NMDC,2019-08-21,66.37,2019-12-18,92.2,25.83,38.92,119,119.38
IDFCFIRSTB,2019-10-10,36.95,2021-01-05,39.7,2.75,7.44,453,5.99
ABCAPITAL,2019-10-14,77.85,2020-01-13,112.25,34.4,44.19,91,177.25
LTTS,2019-11-14,1413.1,2020-10-13,1809.95,396.85,28.08,334,30.69
MPHASIS,2019-11-22,857.8,2020-07-15,994.05,136.25,15.88,236,24.56
HINDPETRO,2020-02-20,222.4,2021-02-18,245.7,23.3,10.48,364,10.51
ACC,2020-02-24,1407.2,2020-10-20,1579.55,172.35,12.25,239,18.71
DALBHARAT,2020-03-03,750.7,2020-11-09,904.95,154.25,20.55,251,29.88
INDHOTEL,2020-03-04,120.09,2021-05-25,131.05,10.96,9.13,447,7.46
ABCAPITAL,2020-03-04,75.45,2020-12-09,96.25,20.8,27.57,280,35.94
FEDERALBNK,2020-03-06,80.05,2021-01-04,70.55,-9.5,-11.87,304,-14.25
CONCOR,2020-03-06,444.35,2021-02-03,464.45,20.1,4.52,334,4.94
PETRONET,2020-03-09,222.35,2023-03-08,230.25,7.9,3.55,1094,1.18
UPL,2020-03-12,443.6,2021-01-18,561.3,117.7,26.53,312,31.04
OBEROIRLTY,2020-03-12,452.9,2020-12-09,533.2,80.3,17.73,272,23.79
NMDC,2020-03-12,55.38,2020-12-07,84.05,28.67,51.77,270,69.99
GODREJPROP,2020-03-12,814.35,2020-11-27,1165.45,351.1,43.11,260,60.52
BHARATFORG,2020-03-12,369.15,2020-12-03,539.4,170.25,46.12,266,63.28
TATACOMM,2020-03-13,250.55,2020-05-04,471.75,221.2,88.29,52,619.73
MFSL,2020-03-17,376.05,2020-08-25,619.85,243.8,64.83,161,146.97
COFORGE,2020-03-17,1181.9,2020-08-06,2023.7,841.8,71.22,142,183.07
ASTRAL,2020-03-19,523.38,2020-09-03,706.44,183.06,34.98,168,76
AUBANK,2020-03-19,310.92,2021-02-02,480.35,169.43,54.49,320,62.15
PIIND,2020-03-23,1063.45,2020-06-05,1617.9,554.45,52.14,74,257.18
MRF,2020-03-23,51970.25,2020-11-17,74095.45,22125.2,42.57,239,65.01
TIINDIA,2020-03-24,302.2,2020-08-13,594.2,292,96.62,142,248.35
PAGEIND,2020-03-25,16609.6,2020-12-04,24013.35,7403.75,44.58,254,64.06
PERSISTENT,2020-04-24,234.15,2020-07-15,382.33,148.18,63.28,82,281.67
IDEA,2021-08-03,7.4,2021-12-03,14.45,7.05,95.27,122,285.03
AUROPHARMA,2021-08-16,738.05,2023-04-25,600.5,-137.55,-18.64,617,-11.03
LUPIN,2021-10-21,924.3,2023-05-15,787.25,-137.05,-14.83,571,-9.48
HDFCAMC,2021-10-27,2701.25,2023-06-30,2295.65,-405.6,-15.02,611,-8.97
MRF,2021-11-22,75657.6,2022-08-01,86950.35,11292.75,14.93,252,21.62
LTF,2021-11-26,75.75,2022-12-02,91.35,15.6,20.59,371,20.26
PIIND,2022-01-27,2373.5,2022-08-10,3276.45,902.95,38.04,195,71.2
SAIL,2022-02-14,96.15,2023-07-31,94.6,-1.55,-1.61,532,-1.1
MFSL,2022-02-14,826.5,2023-08-10,855.1,28.6,3.46,542,2.33
BHEL,2022-02-21,50.5,2022-10-18,68.2,17.7,35.05,239,53.53
OFSS,2022-02-24,3329.6,2023-04-24,3417.35,87.75,2.64,424,2.27
IDFCFIRSTB,2022-02-24,38.9,2022-09-15,52.75,13.85,35.6,203,64.01
