Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
TANLA,2023-03-20,573.6,2023-06-13,963.45,389.85,67.97,85,291.87
NAM-INDIA,2023-03-20,214.65,2023-07-11,293.25,78.6,36.62,113,118.29
CROMPTON,2023-03-20,280.7,2024-01-03,318.75,38.05,13.56,289,17.13
CESC,2023-03-20,68.25,2023-08-23,83.85,15.6,22.86,156,53.49
CAMS,2023-03-24,2132.8,2023-09-11,2604.6,471.8,22.12,171,47.22
CDSL,2023-03-24,940.25,2023-09-08,1282.3,342.05,36.38,168,79.04
AARTIIND,2023-03-24,496,2023-12-04,562.35,66.35,13.38,255,19.15
BSOFT,2023-03-27,260.85,2023-06-01,343.85,83,31.82,66,175.97
IEX,2023-03-28,127.95,2023-12-29,168,40.05,31.3,276,41.39
CUB,2023-03-28,120.9,2023-12-07,154.5,33.6,27.79,254,39.93
CROMPTON,2024-03-18,271.75,2024-05-03,325.45,53.7,19.76,46,156.79
TEJASNET,2024-03-27,661.05,2024-04-22,906.9,245.85,37.19,26,522.09
