Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
KPITTECH,2023-06-30,1089.8,2023-09-27,1128.3,38.5,3.53,89,14.48
PERSISTENT,2023-07-03,2430.88,2023-09-29,2898.35,467.47,19.23,88,79.76
MARICO,2023-07-04,526.45,2023-09-29,561.65,35.2,6.69,87,28.07
SUNTV,2023-07-05,443.45,2023-09-20,593.7,150.25,33.88,77,160.6
WSTCSTPAPR,2023-07-12,484.5,2023-09-13,691.2,206.7,42.66,63,247.16
PAGEIND,2023-07-17,36626.05,2023-08-30,39707.95,3081.9,8.41,44,69.76
MGL,2023-07-24,1048.8,2023-11-06,1054.05,5.25,0.5,105,1.74
HCLTECH,2023-08-08,1141.35,2023-10-03,1238.7,97.35,8.53,56,55.6
TATAELXSI,2023-08-31,7247.1,2023-12-06,8454.55,1207.45,16.66,97,62.69
IGL,2023-09-04,461.9,2024-02-02,445.15,-16.75,-3.63,151,-8.77
ASIANPAINT,2023-09-08,3238.05,2024-01-04,3379.95,141.9,4.38,118,13.55
ITC,2023-09-14,449.95,2024-01-12,466.7,16.75,3.72,120,11.32
TANLA,2023-09-22,1031.3,2024-01-15,1192.6,161.3,15.64,115,49.64
GRINDWELL,2023-10-09,2107.55,2024-01-09,2313.85,206.3,9.79,92,38.84
CRISIL,2023-10-13,3880.9,2023-10-27,3910.6,29.7,0.77,14,20.08
AKZOINDIA,2023-10-19,2455.9,2024-01-05,2659,203.1,8.27,78,38.7
BERGEPAINT,2023-11-01,550.05,2023-12-14,580.05,30,5.45,43,46.26
LLOYDSME,2023-11-20,563.45,2023-12-21,606.95,43.5,7.72,31,90.9
SCHAEFFLER,2023-11-24,2794.95,2024-01-04,3114.1,319.15,11.42,41,101.67
FINEORG,2023-11-24,4231.3,2024-01-05,4855.8,624.5,14.76,42,128.27
IGL,2024-02-23,437.8,2024-03-05,458.55,20.75,4.74,11,157.28
