Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
CASTROLIND,2022-06-29,102.4,2022-09-07,114.05,11.65,11.38,70,59.34
GODFRYPHLP,2022-06-29,1068.75,2022-09-08,1133.55,64.8,6.06,71,31.15
DEEPAKNTR,2022-06-29,1795.05,2022-10-03,2050.85,255.8,14.25,96,54.18
CRISIL,2022-06-29,3208.9,2023-03-08,3385.75,176.85,5.51,252,7.98
GUJGASLTD,2022-06-29,419.45,2022-10-10,490.95,71.5,17.05,103,60.42
NAM-INDIA,2022-06-29,275.4,2022-09-05,294.9,19.5,7.08,68,38
LTTS,2022-06-29,3087.6,2022-09-21,3456.1,368.5,11.93,84,51.84
BSOFT,2022-06-30,353.25,2023-06-12,337.7,-15.55,-4.4,347,-4.63
RATNAMANI,2022-06-30,1654.4,2022-10-04,1918,263.6,15.93,96,60.57
TIMKEN,2022-06-30,2377.3,2022-09-20,2919.3,542,22.8,82,101.49
COFORGE,2022-06-30,3539.3,2022-11-22,3807.85,268.55,7.59,145,19.11
PAGEIND,2022-06-30,40166.5,2022-09-12,49079.9,8913.4,22.19,74,109.45
SUMICHEM,2022-07-01,423,2022-09-29,497.85,74.85,17.7,90,71.78
PFIZER,2022-07-04,4101.7,2022-09-29,4228.65,126.95,3.1,87,13.01
SUNTV,2022-07-04,422.25,2022-09-19,512.55,90.3,21.39,77,101.39
KAJARIACER,2022-07-05,948.55,2022-09-08,1129.35,180.8,19.06,65,107.03
GSPL,2022-07-12,226.35,2022-12-12,271.5,45.15,19.95,153,47.59
CYIENT,2022-07-12,771.45,2022-09-22,811.45,40,5.19,72,26.31
PETRONET,2022-07-12,216.4,2022-12-06,214.75,-1.65,-0.76,147,-1.89
IGL,2022-07-25,361.2,2022-09-14,429.65,68.45,18.95,51,135.62
BASF,2022-10-25,2833.6,2023-06-28,2619.5,-214.1,-7.56,246,-11.22
CYIENT,2022-10-25,754.95,2022-12-14,828.75,73.8,9.78,50,71.39
COROMANDEL,2022-10-25,979.75,2023-05-10,960.2,-19.55,-2,197,-3.71
KAJARIACER,2022-11-22,1045.25,2022-12-26,1090.85,45.6,4.36,34,46.81
SUMICHEM,2022-11-29,467.25,2023-01-10,482.7,15.45,3.31,42,28.77
PAGEIND,2022-12-12,46389.7,2023-09-06,40806.4,-5583.3,-12.04,268,-16.4
GRINDWELL,2022-12-19,1907.6,2023-02-14,1992.6,85,4.46,57,28.56
PETRONET,2022-12-20,213.05,2023-01-04,216.55,3.5,1.64,15,39.91
ZFCVINDIA,2023-01-16,9092.05,2023-03-06,10648.65,1556.6,17.12,49,127.53
SUMICHEM,2023-01-20,470.95,2023-10-05,440.8,-30.15,-6.4,258,-9.05
3MINDIA,2023-01-20,22707.75,2023-02-07,22900.05,192.3,0.85,18,17.24
GUJGASLTD,2023-01-24,469.45,2023-03-16,496.8,27.35,5.83,51,41.72
SUNTV,2023-02-07,457.65,2023-08-08,543.2,85.55,18.69,182,37.48
TIMKEN,2023-02-07,2909.9,2023-02-09,2987.85,77.95,2.68,2,489.1
LTTS,2023-02-07,3446.4,2023-03-17,3570.1,123.7,3.59,38,34.48
KAJARIACER,2023-02-15,1081.45,2023-05-12,1174.9,93.45,8.64,86,36.67
TIMKEN,2023-02-23,2987.9,2023-05-26,3137,149.1,4.99,92,19.8
3MINDIA,2023-03-01,22655.9,2023-03-10,23582.8,926.9,4.09,9,165.87
3MINDIA,2023-03-21,22733,2023-03-29,23095,362,1.59,8,72.54
GRINDWELL,2023-04-03,1862.95,2023-06-13,2108.55,245.6,13.18,71,67.76
SKFINDIA,2023-04-12,4276.15,2023-06-13,4801.3,525.15,12.28,62,72.29
LTTS,2023-04-13,3529.85,2023-05-26,3878.25,348.4,9.87,43,83.78
COFORGE,2023-04-20,3813.45,2023-06-16,4594.25,780.8,20.47,57,131.08
3MINDIA,2023-04-25,22296.2,2023-06-23,26977,4680.8,20.99,59,129.85
IGL,2023-08-25,440.8,2023-09-29,454.85,14.05,3.19,35,33.27
GSPL,2023-09-04,276.5,2023-10-11,287.4,10.9,3.94,37,38.87
TIMKEN,2023-09-12,3158.55,2024-01-04,3220.5,61.95,1.96,114,6.28
SUMICHEM,2023-10-13,427.95,2024-01-02,414.35,-13.6,-3.18,81,-14.33
CARBORUNIV,2023-11-20,1091.6,2024-01-05,1145.5,53.9,4.94,46,39.2
IGL,2023-11-28,389.6,2024-02-06,453.85,64.25,16.49,70,85.98
IGL,2024-02-23,437.8,2024-03-05,458.55,20.75,4.74,11,157.28
