Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
HEROMOTOCO,2019-03-26,2574.45,2020-07-20,2860.15,285.7,11.1,482,8.41
BRITANNIA,2019-05-07,2650.55,2019-10-23,3294.7,644.15,24.3,169,52.48
M&M,2019-05-08,621.65,2020-07-28,620.35,-1.3,-0.21,447,-0.17
EICHERMOT,2019-05-13,1875.18,2019-11-25,2326.13,450.95,24.05,196,44.79
MARUTI,2019-05-15,6493.75,2020-12-03,7739.1,1245.35,19.18,568,12.33
INDUSINDBK,2019-05-16,1358.2,2021-01-07,952.05,-406.15,-29.9,602,-18.13
SUNPHARMA,2019-06-11,389.95,2020-04-13,462.35,72.4,18.57,307,22.08
JSWSTEEL,2019-06-17,260.2,2020-10-16,311.05,50.85,19.54,487,14.64
ITC,2019-07-22,264.4,2020-12-10,212.7,-51.7,-19.55,507,-14.07
TATAMOTORS,2019-07-25,144.3,2020-11-26,173.75,29.45,20.41,490,15.2
COALINDIA,2019-07-25,209.05,2021-02-25,156.1,-52.95,-25.33,581,-15.91
TATASTEEL,2019-07-25,44.03,2020-11-13,48.65,4.62,10.49,477,8.03
TECHM,2019-07-26,643.5,2020-02-18,838.8,195.3,30.35,207,53.52
BAJAJ-AUTO,2019-07-30,2463.85,2019-10-17,3111.5,647.65,26.29,79,121.47
HINDALCO,2019-08-01,182.75,2019-12-30,217.95,35.2,19.26,151,46.56
ONGC,2019-08-05,131.3,2020-12-16,102.9,-28.4,-21.63,499,-15.82
CIPLA,2019-08-09,484.5,2020-04-09,579.6,95.1,19.63,244,29.36
GRASIM,2019-08-21,696.03,2020-11-12,823.67,127.64,18.34,449,14.91
SBIN,2019-10-01,255.95,2020-12-28,275.2,19.25,7.52,454,6.05
WIPRO,2019-10-01,233.5,2020-07-15,262.75,29.25,12.53,288,15.88
INFY,2019-10-24,635.35,2020-07-15,830.95,195.6,30.79,265,42.41
NTPC,2020-02-18,109.6,2021-02-25,108,-1.6,-1.46,373,-1.43
LT,2020-02-24,1259.7,2020-12-14,1249.65,-10.05,-0.8,294,-0.99
HINDALCO,2020-02-25,174.45,2020-11-12,208.6,34.15,19.58,261,27.38
ADANIPORTS,2020-02-28,342.2,2020-11-18,391.1,48.9,14.29,264,19.76
AXISBANK,2020-03-09,623.55,2021-01-05,664.45,40.9,6.56,302,7.93
POWERGRID,2020-03-09,101.78,2021-01-08,114.5,12.72,12.5,305,14.96
TCS,2020-03-09,1972.35,2020-07-28,2309.75,337.4,17.11,141,44.29
RELIANCE,2020-03-12,971.94,2020-06-15,1490.23,518.29,53.33,95,204.9
UPL,2020-03-12,443.6,2021-01-18,561.3,117.7,26.53,312,31.04
BAJAJ-AUTO,2020-03-12,2338.9,2020-11-27,3173.55,834.65,35.69,260,50.1
ULTRACEMCO,2020-03-12,3663.5,2020-11-10,4719.55,1056.05,28.83,243,43.3
HCLTECH,2020-03-12,493.35,2020-07-16,627.75,134.4,27.24,126,78.91
HDFCBANK,2020-03-16,999.5,2020-11-06,1307.65,308.15,30.83,235,47.88
KOTAKBANK,2020-03-16,1383.7,2020-11-06,1718.05,334.35,24.16,235,37.53
TITAN,2020-03-16,1011.35,2020-11-20,1365.15,353.8,34.98,249,51.28
HDFCBANK,2020-03-16,999.5,2020-11-06,1307.65,308.15,30.83,235,47.88
TECHM,2020-03-16,603.4,2020-10-05,841.25,237.85,39.42,203,70.88
ICICIBANK,2020-03-17,367.25,2020-12-29,528.8,161.55,43.99,287,55.95
HDFCLIFE,2020-03-18,419.45,2020-07-28,640.5,221.05,52.7,132,145.72
BAJAJFINSV,2020-03-18,631.02,2021-02-01,972.18,341.16,54.06,320,61.66
BPCL,2020-03-19,300.25,2021-03-02,469,168.75,56.2,348,58.95
EICHERMOT,2020-03-19,1504.65,2020-11-11,2326.7,822.05,54.63,237,84.13
BAJFINANCE,2020-03-23,2266.15,2020-11-27,4908.8,2642.65,116.61,249,170.93
SHREECEM,2020-03-23,16959.4,2020-12-01,24908.4,7949,46.87,253,67.62
APOLLOHOSP,2020-03-23,1158.65,2020-09-18,1828.45,669.8,57.81,179,117.88
TATACONSUM,2020-03-23,226.5,2020-07-06,405.7,179.2,79.12,105,275.04
SBILIFE,2020-03-23,539.2,2021-01-07,914.15,374.95,69.54,290,87.52
BRITANNIA,2020-03-23,2137.85,2020-05-29,3378.85,1241,58.05,67,316.24
BHARTIARTL,2020-10-15,391.84,2021-02-03,597.63,205.79,52.52,111,172.7
HEROMOTOCO,2021-08-20,2697.5,2022-08-17,2913.45,215.95,8.01,362,8.08
BAJAJ-AUTO,2021-11-22,3444.2,2022-07-18,3984.05,539.85,15.67,238,24.03
BPCL,2021-11-26,376.85,2023-03-20,359.65,-17.2,-4.56,479,-3.47
SHREECEM,2021-11-26,25945.8,2023-02-17,25757.4,-188.4,-0.73,448,-0.59
HDFCLIFE,2021-12-17,656.6,2023-01-05,609.45,-47.15,-7.18,384,-6.82
DRREDDY,2022-01-21,4496.15,2023-03-31,4622.75,126.6,2.82,434,2.37
HINDUNILVR,2022-02-14,2228.55,2022-08-05,2645.4,416.85,18.7,172,39.68
DIVISLAB,2022-02-24,3936.65,2023-08-07,3910.55,-26.1,-0.66,529,-0.46
HDFCBANK,2022-03-02,1374.25,2022-12-14,1662.25,288,20.96,287,26.66
HDFCBANK,2022-03-02,1374.25,2022-12-14,1662.25,288,20.96,287,26.66
ULTRACEMCO,2022-03-03,5980.7,2023-01-16,7284.85,1304.15,21.81,319,24.96
BRITANNIA,2022-03-03,3366.4,2022-07-29,3900.4,534,15.86,148,39.11
EICHERMOT,2022-03-04,2339.25,2022-07-07,2944.2,604.95,25.86,125,75.51
ASIANPAINT,2022-03-04,2738.15,2023-07-24,3543.7,805.55,29.42,507,21.18
INDUSINDBK,2022-03-07,834.4,2022-08-30,1107.45,273.05,32.72,176,67.86
NESTLEIND,2022-03-08,1726.33,2022-10-20,2006.11,279.78,16.21,226,26.18
WIPRO,2022-04-27,518.95,2023-07-17,415.25,-103.7,-19.98,446,-16.35
INFY,2022-05-02,1541,2024-01-12,1612.75,71.75,4.66,620,2.74
BAJFINANCE,2022-05-10,5928.45,2023-07-04,7860.45,1932,32.59,420,28.32
APOLLOHOSP,2022-05-10,3686.9,2023-06-02,4967.3,1280.4,34.73,388,32.67
LT,2022-05-11,1570.8,2022-11-17,2029.55,458.75,29.2,190,56.09
AXISBANK,2022-05-12,649.65,2022-09-20,812.75,163.1,25.11,131,69.96
TECHM,2022-05-19,1108.35,2023-07-05,1175,66.65,6.01,412,5.32
BAJAJFINSV,2022-05-19,1241.39,2023-10-17,1657.65,416.26,33.53,516,23.72
JSWSTEEL,2022-05-23,547.55,2022-12-29,769.4,221.85,40.52,220,67.23
TATASTEEL,2022-05-23,102.29,2023-09-01,127.05,24.76,24.21,466,18.96
GRASIM,2022-05-24,1397.19,2022-12-06,1818.82,421.63,30.18,196,56.2
HCLTECH,2022-05-24,991.75,2023-02-02,1149.6,157.85,15.92,254,22.88
TCS,2022-05-25,3167.65,2023-02-16,3558.05,390.4,12.32,267,16.84
