Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
NESTLEIND,2022-03-28,1686.01,2022-10-20,2006.11,320.1,18.99,206,33.65
HDFCAMC,2022-04-25,2005,2023-06-30,2295.65,290.65,14.5,431,12.28
ZYDUSLIFE,2022-04-25,341.15,2022-11-07,451.05,109.9,32.21,196,59.98
INFY,2022-05-02,1541,2024-01-12,1612.75,71.75,4.66,620,2.74
BOSCHLTD,2022-05-09,13612.8,2023-02-16,18135.25,4522.45,33.22,283,42.85
DABUR,2022-05-09,504.55,2022-12-07,602.25,97.7,19.36,212,33.33
SUPREMEIND,2022-05-10,1901.6,2022-11-07,2358.6,457,24.03,181,48.46
LTIM,2022-05-11,4250.75,2023-06-27,5163.05,912.3,21.46,412,19.01
PIDILITIND,2022-05-11,2164.15,2022-09-01,2820.3,656.15,30.32,113,97.94
OFSS,2022-05-13,3230.7,2023-04-24,3417.35,186.65,5.78,346,6.1
BERGEPAINT,2022-05-19,522.46,2023-06-21,569.58,47.12,9.02,398,8.27
NMDC,2022-05-23,98.5,2023-09-04,138,39.5,40.1,469,31.21
HCLTECH,2022-05-24,991.75,2023-02-02,1149.6,157.85,15.92,254,22.88
TCS,2022-05-25,3167.65,2023-02-16,3558.05,390.4,12.32,267,16.84
ICICIGI,2022-06-06,1200.85,2023-06-20,1292.25,91.4,7.61,379,7.33
PERSISTENT,2022-06-17,1593.65,2023-01-30,2307.45,713.8,44.79,227,72.02
HAVELLS,2022-06-17,1069.65,2023-07-19,1364,294.35,27.52,397,25.3
IRCTC,2022-07-05,570.85,2023-12-06,740.5,169.65,29.72,519,20.9
COLPAL,2023-01-24,1459.25,2023-06-27,1692.5,233.25,15.98,154,37.87
HEROMOTOCO,2023-02-28,2419.1,2023-06-07,2958,538.9,22.28,99,82.14
CIPLA,2023-02-28,906.4,2023-07-28,1177.8,271.4,29.94,150,72.85
LICI,2023-03-24,560,2023-11-29,680.9,120.9,21.59,250,31.52
MARICO,2023-03-29,472.25,2023-06-01,556.3,84.05,17.8,64,101.52
MARICO,2024-03-06,505.65,2024-05-14,600.25,94.6,18.71,69,98.97
