Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
IOC,2020-03-25,51.9,2021-01-12,65.3,13.4,25.82,293,32.16
TVSMOTOR,2020-03-26,322.35,2020-11-12,481.8,159.45,49.46,231,78.15
PNB,2020-03-26,33.4,2021-02-17,41.7,8.3,24.85,328,27.65
JINDALSTEL,2020-03-26,88.85,2020-08-07,199.4,110.55,124.42,134,338.91
VEDL,2020-03-30,61.55,2020-12-09,143.55,82,133.23,254,191.45
VBL,2020-03-30,117.82,2020-12-08,196.73,78.91,66.98,253,96.63
TATAPOWER,2020-03-30,32.3,2020-08-26,62.65,30.35,93.96,149,230.17
SHREECEM,2020-03-30,16935.45,2020-12-01,24908.4,7972.95,47.08,246,69.85
HAVELLS,2020-03-30,467.35,2020-09-16,679.95,212.6,45.49,170,97.67
BANKBARODA,2020-03-30,52.45,2021-01-12,70.75,18.3,34.89,288,44.22
CHOLAFIN,2020-04-03,124.65,2020-11-23,351.7,227.05,182.15,234,284.12
ABB,2020-05-15,822.7,2020-12-17,1232.7,410,49.84,216,84.22
PFC,2020-05-21,63.28,2021-01-12,97.16,33.88,53.54,236,82.81
COLPAL,2021-11-18,1476.9,2022-08-30,1674.95,198.05,13.41,285,17.17
SHREECEM,2021-11-26,25945.8,2023-02-17,25757.4,-188.4,-0.73,448,-0.59
GAIL,2021-12-20,83.97,2022-04-12,111.13,27.16,32.34,113,104.46
ICICIGI,2021-12-22,1345.2,2023-06-20,1292.25,-52.95,-3.94,545,-2.64
ZYDUSLIFE,2022-01-18,422.05,2022-11-07,451.05,29,6.87,293,8.56
ICICIPRULI,2022-02-14,502.6,2023-07-10,595,92.4,18.38,511,13.13
BERGEPAINT,2022-02-14,583.17,2023-06-21,569.58,-13.59,-2.33,492,-1.73
RECLTD,2022-02-18,94.69,2022-11-25,109.05,14.36,15.17,280,19.78
PFC,2022-02-24,89.24,2022-11-18,99.88,10.64,11.92,267,16.3
AMBUJACEM,2022-02-24,306.95,2022-09-06,436.5,129.55,42.21,194,79.42
GODREJCP,2022-02-28,767.95,2023-03-20,960,192.05,25.01,385,23.71
INDIGO,2022-03-07,1617,2023-01-11,2107.35,490.35,30.32,310,35.7
DABUR,2022-03-07,505.95,2022-12-07,602.25,96.3,19.03,275,25.26
NAUKRI,2022-05-04,4225.4,2023-06-19,4441.65,216.25,5.12,411,4.55
MOTHERSON,2022-05-09,78.9,2023-07-03,86.1,7.2,9.13,420,7.93
BOSCHLTD,2022-05-09,13612.8,2023-02-16,18135.25,4522.45,33.22,283,42.85
PIDILITIND,2022-05-11,2164.15,2022-09-01,2820.3,656.15,30.32,113,97.94
TORNTPHARM,2022-05-12,1252.2,2022-10-31,1650,397.8,31.77,172,67.42
DMART,2022-05-12,3270.45,2023-12-06,4137.15,866.7,26.5,573,16.88
IRFC,2022-06-13,20.8,2022-11-07,24.7,3.9,18.75,147,46.56
VEDL,2022-06-16,267.45,2024-04-01,287.5,20.05,7.5,655,4.18
JINDALSTEL,2022-06-16,326.65,2022-12-27,575.95,249.3,76.32,194,143.59
DLF,2022-06-16,304.05,2022-12-01,412.7,108.65,35.73,168,77.63
IOC,2022-06-17,69.47,2023-05-09,84,14.53,20.92,326,23.42
HAVELLS,2022-06-17,1069.65,2023-07-19,1364,294.35,27.52,397,25.3
PNB,2022-06-20,28.45,2022-10-25,43.3,14.85,52.2,127,150.02
IRCTC,2022-07-05,570.85,2023-12-06,740.5,169.65,29.72,519,20.9
ZOMATO,2022-07-25,47.6,2023-06-07,74.5,26.9,56.51,317,65.07
GAIL,2022-10-19,84.8,2023-03-03,105.25,20.45,24.12,135,65.21
COLPAL,2023-01-24,1459.25,2023-06-27,1692.5,233.25,15.98,154,37.87
ADANIGREEN,2023-01-27,1486.25,2023-12-05,1348.5,-137.75,-9.27,312,-10.84
AMBUJACEM,2023-02-01,334.1,2023-12-04,474.55,140.45,42.04,306,50.15
ATGL,2023-02-01,1897.4,2023-12-11,1172.15,-725.25,-38.22,313,-44.57
ADANIPOWER,2023-02-01,212.65,2023-09-06,347.55,134.9,63.44,217,106.71
TATAPOWER,2023-03-24,192.75,2023-07-28,234.65,41.9,21.74,126,62.98
LICI,2023-03-24,560,2023-11-29,680.9,120.9,21.59,250,31.52
MARICO,2023-03-29,472.25,2023-06-01,556.3,84.05,17.8,64,101.52
MARICO,2024-03-06,505.65,2024-05-14,600.25,94.6,18.71,69,98.97
