Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
CAPLIPOINT,2022-06-29,710.55,2022-09-01,782.95,72.4,10.19,64,58.11
FINEORG,2022-06-29,4824.7,2022-09-09,6523.3,1698.6,35.21,72,178.5
GPIL,2022-06-29,254.75,2022-09-22,284.8,30.05,11.8,85,50.67
HCLTECH,2022-06-29,987.55,2022-12-12,1028.4,40.85,4.14,166,9.1
NMDC,2022-06-29,84.17,2022-09-27,95.5,11.33,13.46,90,54.59
LTIM,2022-06-29,4086.9,2022-08-30,4641.7,554.8,13.58,62,79.95
ECLERX,2022-06-29,1282.37,2022-09-05,1439.47,157.1,12.25,68,65.75
POLYCAB,2022-06-29,2219.95,2022-09-28,2514.4,294.45,13.26,91,53.19
EMAMILTD,2022-06-29,410.1,2022-08-10,458.75,48.65,11.86,42,103.07
NBCC,2022-06-29,28.8,2022-12-13,41.35,12.55,43.58,167,95.25
LTTS,2022-06-29,3087.6,2022-09-21,3456.1,368.5,11.93,84,51.84
BEL,2022-06-29,78.7,2022-09-30,100.95,22.25,28.27,93,110.95
NAM-INDIA,2022-06-29,275.4,2022-09-05,294.9,19.5,7.08,68,38
ASIANPAINT,2022-06-29,2697.8,2022-08-29,3343.25,645.45,23.93,61,143.19
TANLA,2022-06-29,1006.65,2023-05-26,728.85,-277.8,-27.6,331,-30.44
CDSL,2022-06-29,1104.3,2022-09-27,1254.1,149.8,13.57,90,55.03
CRISIL,2022-06-29,3208.9,2023-03-08,3385.75,176.85,5.51,252,7.98
MARICO,2022-06-29,475.8,2022-10-13,515.55,39.75,8.35,106,28.75
GANESHHOUC,2022-06-29,259.4,2022-09-28,343.9,84.5,32.58,91,130.68
IRCTC,2022-06-29,601.15,2022-09-20,706.15,105,17.47,83,76.83
CASTROLIND,2022-06-29,102.4,2022-09-07,114.05,11.65,11.38,70,59.34
TCS,2022-06-29,3290.5,2022-12-13,3332.1,41.6,1.26,167,2.75
COLPAL,2022-06-29,1492,2022-09-27,1575.1,83.1,5.57,90,22.59
DBCORP,2022-06-30,74.7,2022-09-20,132.55,57.85,77.44,82,344.7
RATNAMANI,2022-06-30,1654.4,2022-10-04,1918,263.6,15.93,96,60.57
PERSISTENT,2022-06-30,1700.9,2022-11-07,1866.47,165.57,9.73,130,27.32
BSOFT,2022-06-30,353.25,2023-06-12,337.7,-15.55,-4.4,347,-4.63
ABB,2022-06-30,2300.9,2022-09-22,3144.1,843.2,36.65,84,159.25
OFSS,2022-06-30,3098.3,2022-09-12,3208.5,110.2,3.56,74,17.56
INFY,2022-06-30,1461.9,2022-09-09,1511.65,49.75,3.4,71,17.48
TATAELXSI,2022-06-30,8170.55,2022-09-09,8816.8,646.25,7.91,71,40.66
PAGEIND,2022-06-30,40166.5,2022-09-12,49079.9,8913.4,22.19,74,109.45
