Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
PFIZER,2020-06-29,4034.85,2020-09-01,4649.2,614.35,15.23,64,86.86
COFORGE,2020-07-01,1384.95,2020-08-26,1950.1,565.15,40.81,56,265.99
DEEPAKNTR,2020-07-03,478.95,2020-09-22,848.15,369.2,77.09,81,347.38
AIAENG,2020-07-03,1608.6,2020-09-25,1738.05,129.45,8.05,84,34.98
GRINDWELL,2020-07-15,502.45,2020-09-22,542.2,39.75,7.91,69,41.84
PAGEIND,2020-07-20,19132.55,2020-10-22,20546.75,1414.2,7.39,94,28.7
BLUESTARCO,2020-07-22,245.43,2020-09-11,303.13,57.7,23.51,51,168.26
SUNTV,2020-07-29,387.15,2020-09-18,484.5,97.35,25.15,51,180
GODFRYPHLP,2020-08-11,958.5,2020-12-23,949.85,-8.65,-0.9,134,-2.45
CASTROLIND,2020-08-12,120.35,2020-09-03,121.35,1,0.83,22,13.77
IGL,2020-08-13,393.45,2020-12-11,482.25,88.8,22.57,120,68.65
APARINDS,2020-08-17,305.1,2020-12-17,371.1,66,21.63,122,64.71
NAM-INDIA,2020-08-25,278.35,2020-12-08,304.3,25.95,9.32,105,32.4
RITES,2020-09-29,244.95,2020-12-11,265.15,20.2,8.25,73,41.25
ZFCVINDIA,2020-09-29,5844.15,2021-03-15,6261.3,417.15,7.14,167,15.61
GSPL,2020-10-01,203.7,2020-12-24,212.85,9.15,4.49,84,19.51
PETRONET,2020-10-06,223.95,2020-12-11,261.6,37.65,16.81,66,92.96
3MINDIA,2020-10-07,18522.25,2020-12-07,22869.1,4346.85,23.47,61,140.44
CARBORUNIV,2020-10-08,255.25,2020-12-10,379.25,124,48.58,63,281.46
CASTROLIND,2020-10-22,111.6,2020-12-16,126.3,14.7,13.17,55,87.4
SKFINDIA,2020-10-22,1486.55,2020-12-23,1652.6,166.05,11.17,62,65.76
SUMICHEM,2020-11-09,276.5,2020-12-23,293.6,17.1,6.18,44,51.27
COROMANDEL,2020-11-10,719.05,2020-12-16,799.5,80.45,11.19,36,113.45
GLAXO,2020-11-12,1430.25,2020-12-24,1532.5,102.25,7.15,42,62.14
SUNTV,2020-11-13,424.8,2021-01-07,518.05,93.25,21.95,55,145.67
BAYERCROP,2020-11-17,5088.95,2021-07-09,5600,511.05,10.04,234,15.66
SANOFI,2020-12-09,7983.4,2021-04-09,8218.2,234.8,2.94,121,8.87
PFIZER,2021-02-18,4522.55,2021-05-11,5403.9,881.35,19.49,82,86.75
GODFRYPHLP,2021-02-24,906.5,2021-06-15,942.2,35.7,3.94,111,12.96
GLAXO,2021-02-24,1453,2021-06-11,1517.05,64.05,4.41,107,15.04
RITES,2021-02-26,244.9,2021-07-05,276.3,31.4,12.82,129,36.27
NATCOPHARM,2021-03-10,824.6,2021-05-14,927.45,102.85,12.47,65,70.02
PETRONET,2021-03-10,246.6,2021-05-31,241.45,-5.15,-2.09,82,-9.3
