Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
ZYDUSLIFE,2022-04-25,341.15,2022-11-07,451.05,109.9,32.21,196,59.98
NAUKRI,2022-05-04,4225.4,2023-06-19,4441.65,216.25,5.12,411,4.55
MOTHERSON,2022-05-09,78.9,2023-07-03,86.1,7.2,9.13,420,7.93
DABUR,2022-05-09,504.55,2022-12-07,602.25,97.7,19.36,212,33.33
BOSCHLTD,2022-05-09,13612.8,2023-02-16,18135.25,4522.45,33.22,283,42.85
PIDILITIND,2022-05-11,2164.15,2022-09-01,2820.3,656.15,30.32,113,97.94
TORNTPHARM,2022-05-12,1252.2,2022-10-31,1650,397.8,31.77,172,67.42
RECLTD,2022-05-12,86.93,2022-11-25,109.05,22.12,25.45,197,47.15
DMART,2022-05-12,3270.45,2023-12-06,4137.15,866.7,26.5,573,16.88
PFC,2022-05-13,84.24,2022-11-18,99.88,15.64,18.57,189,35.86
BERGEPAINT,2022-05-19,522.46,2023-06-21,569.58,47.12,9.02,398,8.27
SHREECEM,2022-05-23,21941.7,2023-02-17,25757.4,3815.7,17.39,270,23.51
ICICIGI,2022-06-06,1200.85,2023-06-20,1292.25,91.4,7.61,379,7.33
IRFC,2022-06-13,20.8,2022-11-07,24.7,3.9,18.75,147,46.56
VEDL,2022-06-16,267.45,2024-04-01,287.5,20.05,7.5,655,4.18
JINDALSTEL,2022-06-16,326.65,2022-12-27,575.95,249.3,76.32,194,143.59
DLF,2022-06-16,304.05,2022-12-01,412.7,108.65,35.73,168,77.63
IOC,2022-06-17,69.47,2023-05-09,84,14.53,20.92,326,23.42
HAVELLS,2022-06-17,1069.65,2023-07-19,1364,294.35,27.52,397,25.3
PNB,2022-06-20,28.45,2022-10-25,43.3,14.85,52.2,127,150.02
INDIGO,2022-06-20,1549.3,2023-01-11,2107.35,558.05,36.02,205,64.13
IRCTC,2022-07-05,570.85,2023-12-06,740.5,169.65,29.72,519,20.9
ZOMATO,2022-07-25,47.6,2023-06-07,74.5,26.9,56.51,317,65.07
GAIL,2022-10-19,84.8,2023-03-03,105.25,20.45,24.12,135,65.21
ICICIPRULI,2022-12-16,444.35,2023-07-10,595,150.65,33.9,206,60.07
COLPAL,2023-01-24,1459.25,2023-06-27,1692.5,233.25,15.98,154,37.87
ADANIGREEN,2023-01-27,1486.25,2023-12-05,1348.5,-137.75,-9.27,312,-10.84
AMBUJACEM,2023-02-01,334.1,2023-12-04,474.55,140.45,42.04,306,50.15
ATGL,2023-02-01,1897.4,2023-12-11,1172.15,-725.25,-38.22,313,-44.57
ADANIPOWER,2023-02-01,212.65,2023-09-06,347.55,134.9,63.44,217,106.71
TATAPOWER,2023-03-24,192.75,2023-07-28,234.65,41.9,21.74,126,62.98
LICI,2023-03-24,560,2023-11-29,680.9,120.9,21.59,250,31.52
MARICO,2023-03-29,472.25,2023-06-01,556.3,84.05,17.8,64,101.52
MARICO,2024-03-06,505.65,2024-05-14,600.25,94.6,18.71,69,98.97
