Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
HEROMOTOCO,2021-08-20,2697.5,2022-08-17,2913.45,215.95,8.01,362,8.08
HDFCAMC,2021-10-27,2701.25,2023-06-30,2295.65,-405.6,-15.02,611,-8.97
COLPAL,2021-11-18,1476.9,2022-08-30,1674.95,198.05,13.41,285,17.17
BAJAJ-AUTO,2021-11-22,3444.2,2022-07-18,3984.05,539.85,15.67,238,24.03
ICICIGI,2021-12-22,1345.2,2023-06-20,1292.25,-52.95,-3.94,545,-2.64
ZYDUSLIFE,2022-01-18,422.05,2022-11-07,451.05,29,6.87,293,8.56
DRREDDY,2022-01-21,4496.15,2023-03-31,4622.75,126.6,2.82,434,2.37
PIIND,2022-01-27,2373.5,2022-08-10,3276.45,902.95,38.04,195,71.2
BERGEPAINT,2022-02-14,583.17,2023-06-21,569.58,-13.59,-2.33,492,-1.73
HINDUNILVR,2022-02-14,2228.55,2022-08-05,2645.4,416.85,18.7,172,39.68
OFSS,2022-02-24,3329.6,2023-04-24,3417.35,87.75,2.64,424,2.27
EICHERMOT,2022-03-04,2339.25,2022-07-07,2944.2,604.95,25.86,125,75.51
DABUR,2022-03-07,505.95,2022-12-07,602.25,96.3,19.03,275,25.26
NESTLEIND,2022-03-08,1726.33,2022-10-20,2006.11,279.78,16.21,226,26.18
INFY,2022-05-02,1541,2024-01-12,1612.75,71.75,4.66,620,2.74
BOSCHLTD,2022-05-09,13612.8,2023-02-16,18135.25,4522.45,33.22,283,42.85
SUPREMEIND,2022-05-10,1901.6,2022-11-07,2358.6,457,24.03,181,48.46
LTIM,2022-05-11,4250.75,2023-06-27,5163.05,912.3,21.46,412,19.01
PIDILITIND,2022-05-11,2164.15,2022-09-01,2820.3,656.15,30.32,113,97.94
NMDC,2022-05-23,98.5,2023-09-04,138,39.5,40.1,469,31.21
HCLTECH,2022-05-24,991.75,2023-02-02,1149.6,157.85,15.92,254,22.88
TCS,2022-05-25,3167.65,2023-02-16,3558.05,390.4,12.32,267,16.84
PERSISTENT,2022-06-17,1593.65,2023-01-30,2307.45,713.8,44.79,227,72.02
HAVELLS,2022-06-17,1069.65,2023-07-19,1364,294.35,27.52,397,25.3
IRCTC,2022-07-05,570.85,2023-12-06,740.5,169.65,29.72,519,20.9
COLPAL,2023-01-24,1459.25,2023-06-27,1692.5,233.25,15.98,154,37.87
HEROMOTOCO,2023-02-28,2419.1,2023-06-07,2958,538.9,22.28,99,82.14
CIPLA,2023-02-28,906.4,2023-07-28,1177.8,271.4,29.94,150,72.85
LICI,2023-03-24,560,2023-11-29,680.9,120.9,21.59,250,31.52
MARICO,2023-03-29,472.25,2023-06-01,556.3,84.05,17.8,64,101.52
MARICO,2024-03-06,505.65,2024-05-14,600.25,94.6,18.71,69,98.97
