Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
NESTLEIND,2016-06-06,647.94,2016-06-23,643.17,-4.77,-0.74,17,-15.89
TITAN,2016-06-08,362.05,2016-07-20,412.1,50.05,13.82,42,120.1
ITC,2016-06-08,241.87,2016-07-27,247.4,5.53,2.29,49,17.06
HCLTECH,2016-06-08,371.75,2016-06-27,367.52,-4.23,-1.14,19,-21.9
SUNPHARMA,2016-06-14,753.7,2016-08-10,817.65,63.95,8.48,57,54.3
WIPRO,2016-06-16,206.21,2016-07-18,206.98,0.77,0.37,32,4.22
EICHERMOT,2016-06-17,1877.91,2016-06-23,1865.94,-11.97,-0.64,6,-38.93
TECHM,2016-06-20,544.3,2016-12-07,455.6,-88.7,-16.3,170,-35
TCS,2016-06-20,1329.65,2016-08-18,1319.28,-10.37,-0.78,59,-4.83
HDFCBANK,2016-06-20,586.03,2016-08-04,620.5,34.47,5.88,45,47.69
HDFCBANK,2016-06-20,586.03,2016-08-04,620.5,34.47,5.88,45,47.69
BHARTIARTL,2016-06-20,328.51,2016-07-29,326.3,-2.21,-0.67,39,-6.27
BAJAJ-AUTO,2016-06-21,2636.25,2016-07-07,2610.55,-25.7,-0.97,16,-22.13
MARUTI,2016-06-22,4151.35,2016-08-12,4898.6,747.25,18,51,128.82
INFY,2016-06-23,605.8,2017-01-03,496.92,-108.88,-17.97,194,-33.81
DRREDDY,2016-06-23,3171.55,2016-07-25,3482.35,310.8,9.8,32,111.78
GRASIM,2016-06-27,674.07,2016-08-10,747.37,73.3,10.87,44,90.17
BAJFINANCE,2016-06-27,769.56,2016-08-09,1017.98,248.42,32.28,43,274
BRITANNIA,2016-06-28,1374.07,2016-07-20,1404.72,30.65,2.23,22,37
APOLLOHOSP,2016-06-28,1319.15,2016-07-21,1333,13.85,1.05,23,16.66
HEROMOTOCO,2016-06-29,3156.55,2016-07-26,3210.1,53.55,1.7,27,22.98
KOTAKBANK,2016-06-30,763.35,2016-07-04,743.95,-19.4,-2.54,4,-231.77
ASIANPAINT,2016-06-30,1003.3,2016-08-16,1129.65,126.35,12.59,47,97.77
INDUSINDBK,2016-07-01,1123.35,2016-08-10,1158.1,34.75,3.09,40,28.2
DIVISLAB,2016-07-01,1133.6,2016-08-02,1181.4,47.8,4.22,32,48.13
TATASTEEL,2016-07-04,31.56,2016-07-28,33.33,1.77,5.61,24,85.32
ICICIBANK,2016-07-04,225.59,2016-08-01,226.82,1.23,0.55,28,7.17
UPL,2016-07-07,369.5,2016-08-26,423.2,53.7,14.53,50,106.07
KOTAKBANK,2016-07-11,760.55,2016-07-25,764.4,3.85,0.51,14,13.3
HCLTECH,2016-07-20,365,2016-08-17,392.27,27.27,7.47,28,97.38
WIPRO,2016-08-09,206.76,2016-12-26,171.04,-35.72,-17.28,139,-45.38
DRREDDY,2016-08-18,3027.2,2016-09-30,3107.4,80.2,2.65,43,22.49
ICICIBANK,2016-08-19,230.82,2016-09-26,238.68,7.86,3.41,38,32.75
BHARTIARTL,2016-08-24,317.78,2016-12-16,279.62,-38.16,-12.01,114,-38.45
LT,2016-08-31,1008.63,2016-11-02,965.77,-42.86,-4.25,63,-24.62
GRASIM,2016-09-06,725.51,2016-09-30,746.29,20.78,2.86,24,43.5
SUNPHARMA,2016-09-07,779.25,2017-02-15,623.05,-156.2,-20.04,161,-45.43
TCS,2016-09-21,1206.7,2017-01-09,1151.85,-54.85,-4.55,110,-15.1
NESTLEIND,2016-09-23,649.46,2016-11-02,675.91,26.45,4.07,40,37.14
APOLLOHOSP,2016-09-23,1339.25,2016-10-25,1320.4,-18.85,-1.41,32,-16.08
COALINDIA,2016-09-27,332.75,2017-01-23,303.4,-29.35,-8.82,118,-27.28
M&M,2016-10-03,721.92,2017-01-20,596.03,-125.89,-17.44,109,-58.4
POWERGRID,2016-10-04,101.81,2016-12-02,103.39,1.58,1.55,59,9.59
ITC,2016-10-18,245.95,2016-11-16,230.9,-15.05,-6.12,29,-77.03
ICICIBANK,2016-10-18,245.77,2016-11-04,245.27,-0.5,-0.2,17,-4.29
NTPC,2016-10-19,124.21,2016-11-15,125.13,0.92,0.74,27,10
AXISBANK,2016-10-20,540.05,2017-01-24,451.25,-88.8,-16.44,96,-62.51
