Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
RATNAMANI,2022-06-06,1795.8,2022-06-08,1720.43,-75.37,-4.2,2,-766.5
GLAXO,2022-06-09,1539.4,2022-06-16,1500.15,-39.25,-2.55,7,-132.96
ABSLAMC,2022-06-15,420.5,2022-08-03,423.15,2.65,0.63,49,4.69
NAM-INDIA,2022-06-16,284.3,2022-07-19,281.55,-2.75,-0.97,33,-10.73
CARBORUNIV,2022-06-16,697.15,2022-07-20,759.05,61.9,8.88,34,95.33
SUNTV,2022-06-21,447.6,2022-09-08,510.4,62.8,14.03,79,64.82
IGL,2022-06-22,357.3,2022-07-25,361.2,3.9,1.09,33,12.06
COFORGE,2022-06-22,3503.05,2022-08-12,3792.5,289.45,8.26,51,59.12
MSUMI,2022-06-23,47.39,2022-07-26,57.07,9.68,20.43,33,225.97
AIAENG,2022-06-23,2126,2022-07-27,2374.35,248.35,11.68,34,125.39
SKFINDIA,2022-06-24,3377.45,2022-09-06,4799.55,1422.1,42.11,74,207.7
JBCHEPHARM,2022-06-24,778.67,2022-08-17,903.42,124.75,16.02,54,108.28
BSOFT,2022-06-24,361.65,2022-12-13,305.95,-55.7,-15.4,172,-32.68
BLUESTARCO,2022-06-24,484.33,2022-08-02,488.77,4.44,0.92,39,8.61
3MINDIA,2022-06-24,20456.45,2022-07-20,22622.55,2166.1,10.59,26,148.67
SUVENPHAR,2022-06-27,470.45,2022-08-10,439,-31.45,-6.69,44,-55.5
RATNAMANI,2022-06-27,1697.57,2022-07-25,1606.1,-91.47,-5.39,28,-70.26
KPITTECH,2022-06-27,504.4,2022-08-10,523.8,19.4,3.85,44,31.94
DEEPAKNTR,2022-06-27,1814.25,2022-08-23,1987.2,172.95,9.53,57,61.03
COROMANDEL,2022-06-27,946.05,2022-08-18,1050.95,104.9,11.09,52,77.84
TIMKEN,2022-06-28,2440.15,2022-08-17,2985.65,545.5,22.36,50,163.23
PAGEIND,2022-06-28,40028.55,2022-08-17,49491.2,9462.65,23.64,50,172.57
KAJARIACER,2022-06-28,931.15,2022-08-10,1137.2,206.05,22.13,43,187.85
CASTROLIND,2022-06-28,103.95,2022-08-10,114.7,10.75,10.34,43,87.77
BASF,2022-06-28,2630.4,2022-07-21,2678.4,48,1.82,23,28.88
PETRONET,2022-06-29,218.4,2022-07-28,220.3,1.9,0.87,29,10.95
GUJGASLTD,2022-06-29,419.45,2022-08-26,458.35,38.9,9.27,58,58.34
GRINDWELL,2022-06-29,1692.25,2022-09-05,2168,475.75,28.11,68,150.88
CRISIL,2022-06-29,3208.9,2022-09-01,3267.25,58.35,1.82,64,10.38
BAYERCROP,2022-06-29,5026.45,2022-07-28,5256.85,230.4,4.58,29,57.64
ZFCVINDIA,2022-06-30,7716.6,2022-08-26,9770.25,2053.65,26.61,57,170.4
SUMICHEM,2022-07-01,423,2022-07-22,456.2,33.2,7.85,21,136.44
RITES,2022-07-01,234.75,2022-09-13,299.15,64.4,27.43,74,135.3
PFIZER,2022-07-01,4109.85,2022-08-10,4166.8,56.95,1.39,40,12.68
GSPL,2022-07-01,218.5,2022-08-25,241.5,23,10.53,55,69.88
NATCOPHARM,2022-07-04,647.7,2022-08-11,639.7,-8,-1.24,38,-11.91
GLAXO,2022-07-04,1531.75,2023-03-10,1297.55,-234.2,-15.29,249,-22.41
SANOFI,2022-07-05,6444.55,2022-07-28,6339.8,-104.75,-1.63,23,-25.87
KEI,2022-07-05,1216.55,2022-08-25,1403.35,186.8,15.35,51,109.86
GODFRYPHLP,2022-07-06,1074.55,2022-08-19,1160.25,85.7,7.98,44,66.2
LTTS,2022-07-07,3058.7,2022-08-24,3679.55,620.85,20.3,48,154.36
SONACOMS,2022-07-08,567.45,2022-07-26,552.85,-14.6,-2.57,18,-52.11
CYIENT,2022-07-12,771.45,2022-08-23,825.95,54.5,7.06,42,61.35
RATNAMANI,2022-07-29,1698.7,2022-08-16,1719.3,20.6,1.21,18,24.54
SANOFI,2022-08-04,6594.2,2023-01-03,5805.8,-788.4,-11.96,152,-28.72
IGL,2022-08-10,379.8,2022-09-01,415.75,35.95,9.47,22,157.12
PETRONET,2022-08-25,215,2022-11-22,206.3,-8.7,-4.05,89,-16.61
SUVENPHAR,2022-08-29,468.7,2022-09-15,479.75,11.05,2.36,17,50.67
SONACOMS,2022-09-07,526.9,2023-02-22,457.2,-69.7,-13.23,168,-28.74
GODFRYPHLP,2022-09-12,1134.55,2022-11-24,1771.95,637.4,56.18,73,280.9
NATCOPHARM,2022-09-13,624.25,2023-03-14,539.5,-84.75,-13.58,182,-27.23
CRISIL,2022-09-23,3286.05,2023-01-23,2984.25,-301.8,-9.18,122,-27.46
COFORGE,2022-09-27,3462.25,2022-11-03,3794.4,332.15,9.59,37,94.6
TIMKEN,2022-10-04,3131.15,2022-10-18,3088.55,-42.6,-1.36,14,-35.46
LTTS,2022-10-04,3575.3,2022-10-20,3530.9,-44.4,-1.24,16,-28.29
BAYERCROP,2022-10-04,4884.85,2023-01-05,4803.95,-80.9,-1.66,93,-6.52
CASTROLIND,2022-10-10,115.5,2022-11-01,120.1,4.6,3.98,22,66.03
AIAENG,2022-10-12,2556.55,2022-11-10,2629.45,72.9,2.85,29,35.87
NAM-INDIA,2022-10-13,271.75,2022-12-20,264.2,-7.55,-2.78,68,-14.92
GRINDWELL,2022-10-20,2109.95,2022-11-15,2049.1,-60.85,-2.88,26,-40.43
COROMANDEL,2022-10-20,980,2022-12-21,913.15,-66.85,-6.82,62,-40.15
GUJGASLTD,2022-10-21,501.8,2022-11-10,495.35,-6.45,-1.29,20,-23.54
SUVENPHAR,2022-10-24,411.65,2022-12-05,463.15,51.5,12.51,42,108.72
IGL,2022-10-24,383.35,2022-11-18,418.05,34.7,9.05,25,132.13
GSPL,2022-10-24,221.6,2022-12-15,269.05,47.45,21.41,52,150.28
BASF,2022-10-25,2833.6,2023-01-11,2754.55,-79.05,-2.79,78,-13.06
LTTS,2022-11-02,3617.3,2022-12-12,3883.85,266.55,7.37,40,67.25
SKFINDIA,2022-11-07,4508.15,2022-11-29,4829.5,321.35,7.13,22,118.29
ABSLAMC,2022-11-07,423.45,2022-12-23,436.5,13.05,3.08,46,24.44
CYIENT,2022-11-09,741.25,2022-12-12,832.8,91.55,12.35,33,136.6
3MINDIA,2022-11-10,23564,2022-11-23,22974.45,-589.55,-2.5,13,-70.19
TIMKEN,2022-11-15,2938.85,2022-12-08,3537.05,598.2,20.35,23,322.95
MSUMI,2022-11-16,60.65,2022-12-19,58.45,-2.2,-3.63,33,-40.15
KAJARIACER,2022-11-18,1026.25,2022-12-13,1119.95,93.7,9.13,25,133.3
CARBORUNIV,2022-11-23,825.5,2022-12-23,850.1,24.6,2.98,30,36.26
SUMICHEM,2022-11-25,470.5,2022-12-22,469.85,-0.65,-0.14,27,-1.89
PAGEIND,2022-11-28,47326.65,2023-05-19,41674.9,-5651.75,-11.94,172,-25.34
RATNAMANI,2022-11-29,1977.25,2023-01-12,1943.2,-34.05,-1.72,44,-14.27
ZFCVINDIA,2022-11-30,9736.6,2023-03-03,10285.45,548.85,5.64,93,22.14
DEEPAKNTR,2022-12-01,2165.6,2022-12-16,2108.35,-57.25,-2.64,15,-64.24
SUNTV,2022-12-05,496.4,2023-05-19,425.9,-70.5,-14.2,165,-31.41
GRINDWELL,2022-12-09,1939.2,2023-02-14,1992.6,53.4,2.75,67,14.98
3MINDIA,2022-12-13,23279.75,2023-02-14,22376.35,-903.4,-3.88,63,-22.48
SUMICHEM,2022-12-30,488.2,2023-01-18,480.45,-7.75,-1.59,19,-30.54
RITES,2023-01-02,342.65,2023-03-27,345.15,2.5,0.73,84,3.17
PFIZER,2023-01-02,4406.95,2023-05-12,3772.2,-634.75,-14.4,130,-40.43
KEI,2023-01-03,1515.4,2023-02-14,1605.75,90.35,5.96,42,51.8
SKFINDIA,2023-01-04,4639.45,2023-07-10,4964.8,325.35,7.01,187,13.68
CASTROLIND,2023-01-04,127,2023-05-09,117.15,-9.85,-7.76,125,-22.66
COROMANDEL,2023-01-05,902.65,2023-02-22,889.9,-12.75,-1.41,48,-10.72
KPITTECH,2023-01-06,716.65,2023-01-13,692.4,-24.25,-3.38,7,-176.24
IGL,2023-01-10,426.45,2023-03-02,431.3,4.85,1.14,51,8.16
NAM-INDIA,2023-01-11,250.9,2023-05-08,235.65,-15.25,-6.08,117,-18.97
BLUESTARCO,2023-01-11,624.65,2023-01-30,609.47,-15.18,-2.43,19,-46.68
DEEPAKNTR,2023-01-12,1941.8,2023-05-22,1944.95,3.15,0.16,130,0.45
TIMKEN,2023-01-16,3114.3,2023-05-24,3132.9,18.6,0.6,128,1.71
JBCHEPHARM,2023-01-16,978.17,2023-02-09,981.85,3.68,0.38,24,5.78
BSOFT,2023-01-16,296.85,2023-02-02,272,-24.85,-8.37,17,-179.71
GUJGASLTD,2023-01-23,471.05,2023-03-13,507.6,36.55,7.76,49,57.8
AIAENG,2023-01-25,2481.75,2023-02-20,2710.1,228.35,9.2,26,129.15
MSUMI,2023-01-31,51.45,2023-05-19,54.95,3.5,6.8,108,22.98
LTTS,2023-02-01,3333,2023-03-08,3675.35,342.35,10.27,35,107.1
APARINDS,2023-02-01,1946.15,2023-02-24,2267.55,321.4,16.51,23,262.01
KAJARIACER,2023-02-03,1078,2023-04-25,1054.45,-23.55,-2.18,81,-9.82
BAYERCROP,2023-02-10,4476.95,2023-05-22,4127.1,-349.85,-7.81,101,-28.22
BSOFT,2023-02-13,287.55,2023-06-06,343.55,56,19.47,113,62.89
GSPL,2023-02-14,275.8,2023-03-14,280.9,5.1,1.85,28,24.12
SANOFI,2023-02-16,5361.05,2023-03-20,5714.85,353.8,6.6,32,75.28
SUMICHEM,2023-02-20,475.7,2023-07-10,430.15,-45.55,-9.58,140,-24.98
BASF,2023-02-20,2356.85,2023-06-16,2577.3,220.45,9.35,116,29.42
ABSLAMC,2023-02-20,402.55,2023-05-22,343.85,-58.7,-14.58,91,-58.48
GODFRYPHLP,2023-02-28,1775.5,2023-03-22,1877.6,102.1,5.75,22,95.4
JBCHEPHARM,2023-03-01,995.92,2023-05-02,1040,44.08,4.43,62,26.08
3MINDIA,2023-03-01,22655.9,2023-03-20,22916.4,260.5,1.15,19,22.09
GRINDWELL,2023-03-21,1784.45,2023-06-05,2089.35,304.9,17.09,76,82.08
SUVENPHAR,2023-03-28,470.3,2023-05-24,472.05,1.75,0.37,57,2.37
CRISIL,2023-03-31,3218.6,2023-04-21,3266.6,48,1.49,21,25.9
SONACOMS,2023-04-03,419.95,2023-05-22,528.85,108.9,25.93,49,193.15
COROMANDEL,2023-04-03,880.45,2023-05-15,960.8,80.35,9.13,42,79.34
CARBORUNIV,2023-04-03,997.7,2023-05-25,1153.35,155.65,15.6,52,109.5
LTTS,2023-04-05,3652.5,2023-05-24,3792.3,139.8,3.83,49,28.53
COFORGE,2023-04-05,4079.2,2023-06-08,4385.55,306.35,7.51,64,42.83
RATNAMANI,2023-04-11,2097.45,2023-05-24,2300.5,203.05,9.68,43,82.17
GSPL,2023-04-11,277.1,2023-05-18,277.85,0.75,0.27,37,2.66
GUJGASLTD,2023-04-19,464.8,2023-06-02,475,10.2,2.19,44,18.17
GODFRYPHLP,2023-04-26,1794.45,2023-06-02,1704.5,-89.95,-5.01,37,-49.42
3MINDIA,2023-05-03,23016.25,2023-06-21,27249.7,4233.45,18.39,49,136.99
GLAXO,2023-05-04,1243.95,2023-06-27,1431.3,187.35,15.06,54,101.79
SANOFI,2023-05-11,6205.5,2023-06-12,6837.95,632.45,10.19,32,116.23
AIAENG,2023-05-16,2783.35,2023-06-23,3311.6,528.25,18.98,38,182.31
BLUESTARCO,2023-05-25,728.08,2023-06-30,767.1,39.02,5.36,36,54.34
JBCHEPHARM,2023-05-29,1050.82,2023-07-05,1150.35,99.53,9.47,37,93.42
CASTROLIND,2023-06-02,114.7,2023-08-16,147.75,33.05,28.81,75,140.21
PETRONET,2023-06-12,224.1,2023-07-19,224.85,0.75,0.33,37,3.26
GODFRYPHLP,2023-06-14,1760.7,2023-08-17,2090.95,330.25,18.76,64,106.99
PAGEIND,2023-06-20,38647.35,2023-08-24,39998.95,1351.6,3.5,65,19.65
IGL,2023-06-21,480.4,2023-07-24,470.55,-9.85,-2.05,33,-22.67
COROMANDEL,2023-06-30,948.4,2023-07-13,935.15,-13.25,-1.4,13,-39.31
SUNTV,2023-07-05,443.45,2023-08-02,524.15,80.7,18.2,28,237.25
GUJGASLTD,2023-07-05,474.15,2023-08-03,455.05,-19.1,-4.03,29,-50.72
RITES,2023-07-12,395.15,2023-08-04,456.5,61.35,15.53,23,246.45
PFIZER,2023-07-12,3809.45,2023-08-14,3844.9,35.45,0.93,33,10.29
GSPL,2023-07-12,296.2,2023-07-20,289.3,-6.9,-2.33,8,-106.31
DEEPAKNTR,2023-07-28,2013.15,2023-08-18,1994.95,-18.2,-0.9,21,-15.64
SUMICHEM,2023-08-04,419.15,2023-09-13,425.6,6.45,1.54,40,14.05
IGL,2023-08-24,443.95,2023-09-21,456.2,12.25,2.76,28,35.98
GSPL,2023-08-24,278.15,2023-10-04,283.85,5.7,2.05,41,18.25
CARBORUNIV,2023-08-24,1139.75,2023-09-21,1160.2,20.45,1.79,28,23.33
DEEPAKNTR,2023-08-28,2038.55,2023-09-18,2248.4,209.85,10.29,21,178.85
GUJGASLTD,2023-08-29,458.85,2023-12-21,443.55,-15.3,-3.33,114,-10.66
BASF,2023-08-29,2570.35,2023-09-20,2674.1,103.75,4.04,22,67.03
BLUESTARCO,2023-08-31,740.45,2023-10-06,872.4,131.95,17.82,36,180.68
PETRONET,2023-09-05,229.15,2023-09-25,239.4,10.25,4.47,20,81.58
TIMKEN,2023-09-07,3221.25,2024-01-01,3232,10.75,0.33,116,1.04
PFIZER,2023-09-13,3849.6,2023-10-23,3928.75,79.15,2.06,40,18.8
CRISIL,2023-09-28,3895.7,2023-10-17,3876.1,-19.6,-0.5,19,-9.61
KPITTECH,2023-10-04,1139.35,2023-10-25,1147.85,8.5,0.75,21,13.04
GRINDWELL,2023-10-04,2084.95,2023-12-20,2160.2,75.25,3.61,77,17.11
IGL,2023-10-11,460.4,2023-10-20,403.2,-57.2,-12.42,9,-503.7
RATNAMANI,2023-10-12,2618,2023-12-07,3648,1030,39.34,56,256.41
PAGEIND,2023-10-12,39512.25,2024-01-09,36452.65,-3059.6,-7.74,89,-31.74
CASTROLIND,2023-10-12,143.2,2024-01-10,180.45,37.25,26.01,90,105.49
BASF,2023-10-13,2595.05,2023-12-01,2952.65,357.6,13.78,49,102.65
RITES,2023-10-17,503.6,2023-10-23,467.4,-36.2,-7.19,6,-437.39
AIAENG,2023-10-17,3501.85,2023-11-16,3562.35,60.5,1.73,30,21.05
KAJARIACER,2023-10-30,1271,2023-12-18,1365.65,94.65,7.45,49,55.49
SONACOMS,2023-11-01,542.55,2023-11-28,558.25,15.7,2.89,27,39.07
COFORGE,2023-11-01,5026.6,2023-12-07,5700.65,674.05,13.41,36,135.96
JBCHEPHARM,2023-11-02,1400.2,2023-11-24,1420.2,20,1.43,22,23.73
3MINDIA,2023-11-02,31325.25,2023-11-17,30357.4,-967.85,-3.09,15,-75.19
DEEPAKNTR,2023-11-06,2138.35,2023-12-20,2217.5,79.15,3.7,44,30.69
CYIENT,2023-11-06,1691.75,2023-12-13,1983.45,291.7,17.24,37,170.07
BAYERCROP,2023-11-06,5242.9,2023-11-23,5272.3,29.4,0.56,17,12.02
ARE&M,2023-11-06,629,2023-12-20,743.8,114.8,18.25,44,151.39
LTTS,2023-11-08,4279.2,2023-12-28,5175.55,896.35,20.95,50,152.94
KEI,2023-11-08,2556.35,2023-12-20,2979.4,423.05,16.55,42,143.83
GSPL,2023-11-08,275.25,2023-12-18,285.7,10.45,3.8,40,34.67
