Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,Annual Gain %
DCMNVL,2021-06-01,126.6,2022-06-01,177.6,51,40.28,365,40.28
RELINFRA,2021-06-01,60.4,2022-06-01,108.05,47.65,78.89,365,78.89
RPOWER,2021-06-01,8.65,2022-06-01,13.2,4.55,52.6,365,52.6
TNPETRO,2021-06-01,101.25,2022-06-01,93.75,-7.5,-7.41,365,-7.41
MBLINFRA,2021-06-01,21.5,2022-06-01,21.25,-0.25,-1.16,365,-1.16
AGARIND,2021-06-01,205.5,2022-06-01,535.85,330.35,160.75,365,160.75
SAIL,2021-06-01,121.2,2022-06-01,76.45,-44.75,-36.92,365,-36.92
MANALIPETC,2021-06-01,80,2022-06-01,100.95,20.95,26.19,365,26.19
KIRLOSIND,2021-06-01,1794.45,2022-06-01,1410.6,-383.85,-21.39,365,-21.39
ADSL,2021-06-01,62.45,2022-06-01,128.9,66.45,106.41,365,106.41
VEDL,2021-06-01,268.25,2022-06-01,316.05,47.8,17.82,365,17.82
GPIL,2021-06-01,231.1,2022-06-01,295.25,64.15,27.76,365,27.76
DHAMPURSUG,2021-06-01,320.4,2022-06-01,274.25,-46.15,-14.4,365,-14.4
MANGCHEFER,2021-06-01,82.05,2022-06-01,89.8,7.75,9.45,365,9.45
NITINSPIN,2021-06-01,117.85,2022-06-01,223.75,105.9,89.86,365,89.86
KAMDHENU,2021-06-01,83.27,2022-06-01,100.25,16.98,20.39,365,20.39
ZEEMEDIA,2021-06-01,9.35,2022-06-01,16.25,6.9,73.8,365,73.8
DEEPAKFERT,2021-06-01,286.15,2022-06-01,678.15,392,136.99,365,136.99
SCI,2021-06-01,113.05,2022-06-01,120.05,7,6.19,365,6.19
REDINGTON,2021-06-01,123.3,2022-06-01,130.95,7.65,6.2,365,6.2
TATASTEEL,2021-06-01,110.09,2022-06-01,106.36,-3.73,-3.39,365,-3.39
PNBGILTS,2021-06-01,75.75,2022-06-01,65.2,-10.55,-13.93,365,-13.93
BCG,2021-06-01,4.2,2022-06-01,61,56.8,1352.38,365,1352.38
BANSWRAS,2021-06-01,73.6,2022-06-01,109.38,35.78,48.61,365,48.61
NATIONALUM,2021-06-01,72.35,2022-06-01,92.35,20,27.64,365,27.64
CHENNPETRO,2022-06-01,294.9,2024-06-05,891.9,597,202.44,735,100.53
GNFC,2022-06-01,679.3,2024-06-05,624.1,-55.2,-8.13,735,-4.04
JINDRILL,2022-06-01,199.85,2024-06-05,585,385.15,192.72,735,95.7
AVADHSUGAR,2022-06-01,614.45,2024-06-05,534.3,-80.15,-13.04,735,-6.48
GSFC,2022-06-01,170.55,2024-06-05,194.9,24.35,14.28,735,7.09
JKIL,2022-06-01,245.4,2024-06-05,720.35,474.95,193.54,735,96.11
MANAKSIA,2022-06-01,88.05,2024-06-05,99.65,11.6,13.17,735,6.54
ANDHRAPAP,2022-06-01,328.25,2024-06-05,485,156.75,47.75,735,23.71
WSTCSTPAPR,2022-06-01,347.9,2024-06-05,577.8,229.9,66.08,735,32.82
ZUARI,2022-06-01,148.85,2024-06-05,168.3,19.45,13.07,735,6.49
MAGADSUGAR,2022-06-01,338.45,2024-06-05,630.8,292.35,86.38,735,42.9
SHREYAS,2022-06-01,351.4,2024-06-05,289.45,-61.95,-17.63,735,-8.76
TIMETECHNO,2022-06-01,104.1,2024-06-05,268.15,164.05,157.59,735,78.26
PENIND,2022-06-01,37.2,2024-06-05,138.95,101.75,273.52,735,135.83
GESHIP,2022-06-01,390.5,2024-06-05,1052.65,662.15,169.56,735,84.2
RANASUG,2022-06-01,30.9,2024-06-05,20.75,-10.15,-32.85,735,-16.31
NLCINDIA,2022-06-01,76.45,2024-06-05,202.85,126.4,165.34,735,82.11
NTPC,2022-06-01,156.8,2024-06-05,341,184.2,117.47,735,58.34
LGBBROSLTD,2022-06-01,587.85,2024-06-05,1204.6,616.75,104.92,735,52.1
PRECWIRE,2022-06-01,46.33,2024-06-05,118.75,72.42,156.31,735,77.62
NAHARINDUS,2022-06-01,137.3,2024-06-05,115.65,-21.65,-15.77,735,-7.83
UFLEX,2022-06-01,616.05,2024-06-05,418.35,-197.7,-32.09,735,-15.94
SESHAPAPER,2022-06-01,187.15,2024-06-05,311,123.85,66.18,735,32.86
