Symbol,Buy Date,Buy Price,Sell Date,Sell Price,Gain,Gain %,Days,CAGR %
DCMNVL,2021-06-01,126.6,2022-06-01,177.6,51,40.28,365,40.28
RELINFRA,2021-06-01,60.4,2022-06-01,108.05,47.65,78.89,365,78.89
RPOWER,2021-06-01,8.65,2022-06-01,13.2,4.55,52.6,365,52.6
TNPETRO,2021-06-01,101.25,2022-06-01,93.75,-7.5,-7.41,365,-7.41
MBLINFRA,2021-06-01,21.5,2022-06-01,21.25,-0.25,-1.16,365,-1.16
AGARIND,2021-06-01,205.5,2022-06-01,535.85,330.35,160.75,365,160.75
SAIL,2021-06-01,121.2,2022-06-01,76.45,-44.75,-36.92,365,-36.92
MANALIPETC,2021-06-01,80,2022-06-01,100.95,20.95,26.19,365,26.19
KIRLOSIND,2021-06-01,1794.45,2022-06-01,1410.6,-383.85,-21.39,365,-21.39
ADSL,2021-06-01,62.45,2022-06-01,128.9,66.45,106.41,365,106.41
VEDL,2021-06-01,268.25,2022-06-01,316.05,47.8,17.82,365,17.82
GPIL,2021-06-01,231.1,2022-06-01,295.25,64.15,27.76,365,27.76
DHAMPURSUG,2021-06-01,320.4,2022-06-01,274.25,-46.15,-14.4,365,-14.4
MANGCHEFER,2021-06-01,82.05,2022-06-01,89.8,7.75,9.45,365,9.45
NITINSPIN,2021-06-01,117.85,2022-06-01,223.75,105.9,89.86,365,89.86
KAMDHENU,2021-06-01,83.27,2022-06-01,100.25,16.98,20.39,365,20.39
ZEEMEDIA,2021-06-01,9.35,2022-06-01,16.25,6.9,73.8,365,73.8
DEEPAKFERT,2021-06-01,286.15,2022-06-01,678.15,392,136.99,365,136.99
SCI,2021-06-01,113.05,2022-06-01,120.05,7,6.19,365,6.19
REDINGTON,2021-06-01,123.3,2022-06-01,130.95,7.65,6.2,365,6.2
TATASTEEL,2021-06-01,110.09,2022-06-01,106.36,-3.73,-3.39,365,-3.39
PNBGILTS,2021-06-01,75.75,2022-06-01,65.2,-10.55,-13.93,365,-13.93
BCG,2021-06-01,4.2,2022-06-01,61,56.8,1352.38,365,1352.38
BANSWRAS,2021-06-01,73.6,2022-06-01,109.38,35.78,48.61,365,48.61
NATIONALUM,2021-06-01,72.35,2022-06-01,92.35,20,27.64,365,27.64
GNFC,2022-06-01,679.3,2023-06-01,583.1,-96.2,-14.16,365,-14.16
JINDRILL,2022-06-01,199.85,2023-06-01,301.35,101.5,50.79,365,50.79
AVADHSUGAR,2022-06-01,614.45,2023-06-01,482.4,-132.05,-21.49,365,-21.49
JKIL,2022-06-01,245.4,2023-06-01,261.2,15.8,6.44,365,6.44
ANDHRAPAP,2022-06-01,328.25,2023-06-01,446.75,118.5,36.1,365,36.1
WSTCSTPAPR,2022-06-01,347.9,2023-06-01,532.75,184.85,53.13,365,53.13
ZUARI,2022-06-01,148.85,2023-06-01,139.85,-9,-6.05,365,-6.05
SHREYAS,2022-06-01,351.4,2023-06-01,321.95,-29.45,-8.38,365,-8.38
TIMETECHNO,2022-06-01,104.1,2023-06-01,97.45,-6.65,-6.39,365,-6.39
PENIND,2022-06-01,37.2,2023-06-01,68.4,31.2,83.87,365,83.87
GESHIP,2022-06-01,390.5,2023-06-01,683.5,293,75.03,365,75.03
RANASUG,2022-06-01,30.9,2023-06-01,22.95,-7.95,-25.73,365,-25.73
NLCINDIA,2022-06-01,76.45,2023-06-01,93.55,17.1,22.37,365,22.37
CENTENKA,2022-06-01,503.15,2023-06-01,401.85,-101.3,-20.13,365,-20.13
NTPC,2022-06-01,156.8,2023-06-01,174.4,17.6,11.22,365,11.22
COALINDIA,2022-06-01,196.05,2023-06-01,230.35,34.3,17.5,365,17.5
LGBBROSLTD,2022-06-01,587.85,2023-06-01,798.25,210.4,35.79,365,35.79
PRECWIRE,2022-06-01,46.33,2023-06-01,82.6,36.27,78.29,365,78.29
NAHARINDUS,2022-06-01,137.3,2023-06-01,106.2,-31.1,-22.65,365,-22.65
UFLEX,2022-06-01,616.05,2023-06-01,411.65,-204.4,-33.18,365,-33.18
SESHAPAPER,2022-06-01,187.15,2023-06-01,278.95,91.8,49.05,365,49.05
CHENNPETRO,2022-06-01,294.9,2024-06-05,891.9,597,202.44,735,73.26
GSFC,2022-06-01,170.55,2024-06-05,194.9,24.35,14.28,735,6.85
MANAKSIA,2022-06-01,88.05,2024-06-05,99.65,11.6,13.17,735,6.34
MAGADSUGAR,2022-06-01,338.45,2024-06-05,630.8,292.35,86.38,735,36.23
POCL,2023-06-01,402.9,2024-06-05,648.8,245.9,61.03,370,60
JINDALSAW,2023-06-01,246.35,2024-06-05,508.4,262.05,106.37,370,104.36
SUNFLAG,2023-06-01,143.5,2024-06-05,200.3,56.8,39.58,370,38.95
NCC,2023-06-01,123,2024-06-05,289.75,166.75,135.57,370,132.86
PATELENG,2023-06-01,25.75,2024-06-05,56.9,31.15,120.97,370,118.62
BANSWRAS,2023-06-01,163.4,2024-06-05,141.15,-22.25,-13.62,370,-13.45
NAVA,2023-06-01,239.9,2024-06-05,513.05,273.15,113.86,370,111.67
UNIVCABLES,2023-06-01,370.95,2024-06-05,629.9,258.95,69.81,370,68.6
ARVIND,2023-06-01,125.8,2024-06-05,346.65,220.85,175.56,370,171.81
GICRE,2023-06-01,185.75,2024-06-05,345.15,159.4,85.81,370,84.27
UJJIVANSFB,2023-06-01,36.05,2024-06-05,47.4,11.35,31.48,370,31
NITINSPIN,2023-06-01,249.5,2024-06-05,314.55,65.05,26.07,370,25.68
MANGCHEFER,2023-06-01,92.45,2024-06-05,103.8,11.35,12.28,370,12.1
GSPL,2023-06-01,304.3,2024-06-05,277.55,-26.75,-8.79,370,-8.68
MAHSEAMLES,2023-06-01,447.3,2024-06-05,623.65,176.35,39.43,370,38.8
JPOLYINVST,2023-06-01,578.05,2024-06-05,730.45,152.4,26.36,370,25.97
