Symbol,Buy Date,Buy Price,Buy Quantity,Sell Date,Sell Price,Sell Quantity,Gain,Gain %,Days,CAGR %
SRHHYPOLTD,2020-06-01,105.05,380,2021-06-01,288.30,380,69635,174.44,365,174.44
NECLIFE,2020-06-01,13.40,2985,2021-06-01,29.90,2985,49252.50,123.13,365,123.13
MANINDS,2020-06-01,44.20,904,2021-06-01,91.45,904,42714,106.90,365,106.90
TATACHEM,2020-06-01,308.45,129,2021-06-01,706.40,129,51335.55,129.02,365,129.02
KELLTONTEC,2020-06-01,15.60,2564,2021-06-01,71.55,2564,143455.80,358.65,365,358.65
PONNIERODE,2020-06-01,141.40,282,2021-06-01,201.10,282,16835.40,42.22,365,42.22
IIFLSEC,2020-06-01,29.70,1346,2021-06-01,72.80,1346,58012.60,145.12,365,145.12
STARPAPER,2020-06-01,94.20,424,2021-06-01,139.85,424,19355.60,48.46,365,48.46
SUNFLAG,2020-06-01,29.65,1349,2021-06-01,78.60,1349,66033.55,165.09,365,165.09
UFLEX,2020-06-01,187.75,213,2021-06-01,445.25,213,54847.50,137.15,365,137.15
ESTER,2020-06-01,30.70,1302,2021-06-01,137.50,1302,139053.60,347.88,365,347.88
POLYPLEX,2020-06-01,440.05,90,2021-06-01,1107.70,90,60088.50,151.72,365,151.72
MANAKSIA,2020-06-01,31.70,1261,2021-06-01,63.30,1261,39847.60,99.68,365,99.68
HGS,2020-06-01,287.05,139,2021-06-01,900.15,139,85220.90,213.59,365,213.59
TCPLPACK,2020-06-01,235.10,170,2021-06-01,494.15,170,44038.50,110.19,365,110.19
SALASAR,2020-06-01,1.01,39603,2021-06-01,7.14,39603,242766.39,606.93,365,606.93
IRB,2020-06-01,6.33,6319,2021-06-01,11.60,6319,33301.13,83.25,365,83.25
SARDAEN,2020-06-01,16.13,2479,2021-06-01,50.42,2479,85004.91,212.59,365,212.59
PDMJEPAPER,2020-06-01,11.85,3375,2021-06-01,28.75,3375,57037.50,142.62,365,142.62
DTIL,2020-06-01,95.17,420,2021-06-01,213.23,420,49585.20,124.05,365,124.05
GIPCL,2020-06-01,57.60,694,2021-06-01,80.45,694,15857.90,39.67,365,39.67
BCG,2020-06-01,3.46,11560,2022-06-01,61,11560,665162.40,1663.01,730,319.88
MANGCHEFER,2020-06-01,38.25,1045,2022-06-01,89.80,1045,53869.75,134.77,730,53.22
MANALIPETC,2020-06-01,15.55,2572,2022-06-01,100.95,2572,219648.80,549.20,730,154.79
TNPETRO,2020-06-01,34.25,1167,2022-06-01,93.75,1167,69436.50,173.72,730,65.45
DCMNVL,2021-06-01,126.60,315,2022-06-01,177.60,315,16065,40.28,365,40.28
RELINFRA,2021-06-01,60.40,662,2022-06-01,108.05,662,31544.30,78.89,365,78.89
RPOWER,2021-06-01,8.65,4624,2022-06-01,13.20,4624,21039.20,52.60,365,52.60
MBLINFRA,2021-06-01,21.50,1860,2022-06-01,21.25,1860,-465,-1.16,365,-1.16
AGARIND,2021-06-01,205.50,194,2022-06-01,535.85,194,64087.90,160.75,365,160.75
SAIL,2021-06-01,121.20,330,2022-06-01,76.45,330,-14767.50,-36.92,365,-36.92
KIRLOSIND,2021-06-01,1794.45,22,2022-06-01,1410.60,22,-8444.70,-21.39,365,-21.39
ADSL,2021-06-01,62.45,640,2022-06-01,128.90,640,42528,106.41,365,106.41
VEDL,2021-06-01,268.25,149,2022-06-01,316.05,149,7122.20,17.82,365,17.82
GPIL,2021-06-01,231.10,173,2022-06-01,295.25,173,11097.95,27.76,365,27.76
DHAMPURSUG,2021-06-01,320.40,124,2022-06-01,274.25,124,-5722.60,-14.40,365,-14.40
NITINSPIN,2021-06-01,117.85,339,2022-06-01,223.75,339,35900.10,89.86,365,89.86
KAMDHENU,2021-06-01,83.27,480,2022-06-01,100.25,480,8150.40,20.39,365,20.39
ZEEMEDIA,2021-06-01,9.35,4278,2022-06-01,16.25,4278,29518.20,73.80,365,73.80
DEEPAKFERT,2021-06-01,286.15,139,2022-06-01,678.15,139,54488,136.99,365,136.99
SCI,2021-06-01,113.05,353,2022-06-01,120.05,353,2471,6.19,365,6.19
REDINGTON,2021-06-01,123.30,324,2022-06-01,130.95,324,2478.60,6.20,365,6.20
TATASTEEL,2021-06-01,110.09,363,2022-06-01,106.36,363,-1353.99,-3.39,365,-3.39
PNBGILTS,2021-06-01,75.75,528,2022-06-01,65.20,528,-5570.40,-13.93,365,-13.93
BANSWRAS,2021-06-01,73.60,543,2022-06-01,109.38,543,19428.54,48.61,365,48.61
NATIONALUM,2021-06-01,72.35,552,2022-06-01,92.35,552,11040,27.64,365,27.64
GNFC,2022-06-01,679.30,58,2023-06-01,583.10,58,-5579.60,-14.16,365,-14.16
JINDRILL,2022-06-01,199.85,200,2023-06-01,301.35,200,20300,50.79,365,50.79
AVADHSUGAR,2022-06-01,614.45,65,2023-06-01,482.40,65,-8583.25,-21.49,365,-21.49
JKIL,2022-06-01,245.40,162,2023-06-01,261.20,162,2559.60,6.44,365,6.44
ANDHRAPAP,2022-06-01,328.25,121,2023-06-01,446.75,121,14338.50,36.10,365,36.10
WSTCSTPAPR,2022-06-01,347.90,114,2023-06-01,532.75,114,21072.90,53.13,365,53.13
ZUARI,2022-06-01,148.85,268,2023-06-01,139.85,268,-2412,-6.05,365,-6.05
SHREYAS,2022-06-01,351.40,113,2023-06-01,321.95,113,-3327.85,-8.38,365,-8.38
TIMETECHNO,2022-06-01,104.10,384,2023-06-01,97.45,384,-2553.60,-6.39,365,-6.39
PENIND,2022-06-01,37.20,1075,2023-06-01,68.40,1075,33540,83.87,365,83.87
GESHIP,2022-06-01,390.50,102,2023-06-01,683.50,102,29886,75.03,365,75.03
RANASUG,2022-06-01,30.90,1294,2023-06-01,22.95,1294,-10287.30,-25.73,365,-25.73
NLCINDIA,2022-06-01,76.45,523,2023-06-01,93.55,523,8943.30,22.37,365,22.37
CENTENKA,2022-06-01,503.15,79,2023-06-01,401.85,79,-8002.70,-20.13,365,-20.13
NTPC,2022-06-01,156.80,255,2023-06-01,174.40,255,4488,11.22,365,11.22
COALINDIA,2022-06-01,196.05,204,2023-06-01,230.35,204,6997.20,17.50,365,17.50
LGBBROSLTD,2022-06-01,587.85,68,2023-06-01,798.25,68,14307.20,35.79,365,35.79
PRECWIRE,2022-06-01,46.33,863,2023-06-01,82.60,863,31301.01,78.29,365,78.29
NAHARINDUS,2022-06-01,137.30,291,2023-06-01,106.20,291,-9050.10,-22.65,365,-22.65
UFLEX,2022-06-01,616.05,64,2023-06-01,411.65,64,-13081.60,-33.18,365,-33.18
SESHAPAPER,2022-06-01,187.15,213,2023-06-01,278.95,213,19553.40,49.05,365,49.05
CHENNPETRO,2022-06-01,294.90,135,2024-06-05,891.90,135,80595,202.44,735,73.26
GSFC,2022-06-01,170.55,234,2024-06-05,194.90,234,5697.90,14.28,735,6.85
MANAKSIA,2022-06-01,88.05,454,2024-06-05,99.65,454,5266.40,13.17,735,6.34
MAGADSUGAR,2022-06-01,338.45,118,2024-06-05,630.80,118,34497.30,86.38,735,36.23
POCL,2023-06-01,402.90,99,2024-06-05,648.80,99,24344.10,61.03,370,60
JINDALSAW,2023-06-01,246.35,162,2024-06-05,508.40,162,42452.10,106.37,370,104.36
SUNFLAG,2023-06-01,143.50,278,2024-06-05,200.30,278,15790.40,39.58,370,38.95
