symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return1M
RELIANCE,Oil & Gas - Refining & Marketing,Energy,2917.3,2002983,28.77,2.42,2.18,17.41,13.32,0.37,7.77,25.93,14.04,3.4
TCS,IT Services & Consulting,Information Technology,3801.7,1392782.79,30.34,15.25,5.68,31.41,20.02,1.9,50.3,18.42,-0.38,-0.64
HDFCBANK,Private Banks,Financials,1657.85,1153545.7,18.01,3.97,2.83,55.42,12.5,0.94,17.09,3.35,0.3,10.12
BHARTIARTL,Telecom Services,Communication Services,1392.35,826210.7,110.65,7.76,5.36,12.65,14.2,0.58,8.41,68.13,40.86,5.21
ICICIBANK,Private Banks,Financials,1144.45,795799.95,17.98,3.6,3.36,99999,10.83,0.88,16.63,23.97,12.7,-0.74
SBIN,Public Banks,Financials,852.6,739493.34,11.02,1.72,1.24,34.18,4.51,0,16.72,49.88,30.09,2.95
LICI,Insurance,Financials,1031.5,651316.64,15.92,14.05,0.76,11.95,14.13,0.97,124.54,66.83,29.9,7.87
INFY,IT Services & Consulting,Information Technology,1511.35,606591.74,23.12,6.86,3.83,24.06,14.28,3.14,31.94,16.8,-3.01,3.89
HINDUNILVR,FMCG - Household Products,Consumer Staples,2457,556629.92,54.16,10.82,8.85,35.98,35.29,1.77,20.16,-8.43,-4.05,7.29
ITC,FMCG - Tobacco,Consumer Staples,423.65,544583.55,26.62,7.83,7.4,28.85,18.06,3.14,29,-6.6,-7.11,-1.82
LT,Construction & Engineering,Industrials,3589.95,498472.12,38.17,4.86,2.21,27.29,17.22,0.94,12.67,51.71,2.6,6.42
BAJFINANCE,Consumer Finance,Financials,7233.95,422525.88,29.24,7.77,7.68,99999,31.76,0.51,23.46,-2.06,-5.22,8.94
MARUTI,Four Wheelers,Consumer Discretionary,12242.1,408737.49,30.3,6.61,2.8,44.18,17.92,0.92,14.02,28.43,19.63,-0.75
ADANIENT,Commodities Trading,Industrials,3261.9,385884.68,119.12,8.73,3.93,37.42,35.76,0.04,7.89,35.83,10.9,8.03
HCLTECH,IT Services & Consulting,Information Technology,1445.85,364278.88,23.2,5.57,3.27,20.23,13.58,3.87,23.31,27.1,-2.85,8.06
NTPC,Power Generation,Utilities,362.5,363576.5,17.47,2.41,1.98,9.08,10.36,2.07,11.66,95.05,17.07,0.85
AXISBANK,Private Banks,Financials,1226.65,362550.09,13.78,2.79,2.63,16.42,7.23,0.08,8.7,27.03,9.5,4.8
SUNPHARMA,Pharmaceuticals,Health Care,1504,356709.13,37.25,6.01,7.16,71.93,25.34,0.91,15.35,50.13,20.81,-0.96
ONGC,Oil & Gas - Exploration & Production,Energy,271.55,356336.41,7.24,1.18,0.54,4.23,4.19,4.32,12.13,72.08,35.57,-2.8
TATAMOTORS,Four Wheelers,Consumer Discretionary,977.35,352184.77,11.22,3.78,0.79,5.19,6.25,0.58,43.1,72.66,34.08,3.39
HAL,Aerospace & Defense Equipments,Industrials,5311.95,345532.64,45.34,14.66,10.7,39.13,27.89,0.43,27.17,172.87,90.57,15.55
KOTAKBANK,Private Banks,Financials,1746.7,338634.14,18.84,3.02,3.59,99999,12.39,0.12,14.25,-4.27,-5.41,0.91
HINDZINC,Mining - Diversified,Materials,633.45,313793.32,40.44,24.26,10.46,20.74,21.35,0,44.53,106.27,103.06,2.5
M&M,Four Wheelers,Consumer Discretionary,2933.85,309045.91,27.43,4.61,2.17,99999,13.71,0.82,16.6,109.18,72.65,19.08
COALINDIA,Mining - Coal,Materials,477.95,308752.69,8.25,5.32,2.05,8.65,4.79,5.09,55.32,110.41,30.25,3.69
