date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,return12M,return6M,return3M,return1M
2023-06-01,RELIANCE,Oil & Gas Refining & Marketing,Energy,2273.58,1538326,23.06,1.87,1.75,13.37,12.24,0.33,8.12,-6.46,-9.51,3.26,0.91
2023-06-01,TCS,Information Technology Services,Technology,3324,1216269,28.86,13.45,5.39,28.98,19.61,3.4,46.61,-0.93,-3.35,-0.54,3.25
2023-06-01,HDFCBANK,Banks - Regional,Financial Services,1604,894991,18.09,3.07,7.42,18.76,6.73,0.97,17.01,14.99,-0.19,-0.74,-4.93
2023-06-01,ICICIBANK,Banks - Regional,Financial Services,936.1,653662,19.57,3.05,4.82,-173.33,6.88,0.53,15.87,24.37,0.59,7.78,1.52
2023-06-01,HINDUNILVR,Household & Personal Products,Consumer Defensive,2697.9,633897,62.64,12.6,10.64,63.45,43.49,1.34,20.12,16.87,3.17,9.18,10.04
2023-06-01,INFY,Information Technology Services,Technology,1319.5,545797,1858.45,595.07,299.69,1913.06,1312.53,0.03,32.5,-10.76,-19.44,-10.8,3.29
2023-06-01,HDFC,,,,,,,,,,,,,,,
2023-06-01,ITC,Tobacco,Consumer Defensive,439.7,546460,28.44,7.9,7.78,28.95,19.88,2.82,27.75,61.74,30.42,14.22,3.59
2023-06-01,SBIN,Banks - Regional,Financial Services,582.75,520082,9.35,1.45,1.84,-6.05,1.88,1.22,15.5,24.44,-4.08,3.84,1.29
2023-06-01,BHARTIARTL,Telecom Services,Communication Services,827.95,493831,56.83,6.37,3.55,7.56,10.42,0.73,10.76,19.19,-2.44,8.31,4.78
2023-06-01,KOTAKBANK,Banks - Regional,Financial Services,1930.05,383416,25.75,3.41,7.14,-308.6,11.16,0.07,13.29,3.48,-0.04,10.23,0.46
2023-06-01,BAJFINANCE,Credit Services,Financial Services,7040.5,425543,37.14,7.83,15.78,-10.11,20.5,0.28,21.16,17.14,5.46,15.42,12.66
2023-06-01,LICI,Insurance - Life,Financial Services,597.15,377698,9.23,8.17,0.45,7.04,8.09,0,88.5,-26.31,-8.31,-2.97,8.56
2023-06-01,LT,Engineering & Construction,Industrials,2207.8,310303,29.65,3.47,1.69,13.62,19.11,1,11.72,33.97,5.86,2.59,-7.41
2023-06-01,HCLTECH,Information Technology Services,Technology,1141.9,309155,20.84,4.73,3.05,17.17,12.71,4.2,22.71,12.18,0.56,2.05,6.96
2023-06-01,ASIANPAINT,Specialty Chemicals,Basic Materials,3240.7,310732,75.68,19.43,9.04,74.1,47.28,0.62,25.68,13.61,3.09,14.56,11.77
2023-06-01,AXISBANK,Banks - Regional,Financial Services,919.7,282979,26.25,2.18,4.53,12.82,4.55,0.11,8.34,34.06,1.61,7.86,5.63
2023-06-01,MARUTI,Auto Manufacturers,Consumer Cyclical,9328.3,281790,35.49,4.56,2.5,26.06,18.22,0.64,13.37,17.49,5.81,8.45,6.28
2023-06-01,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,987.7,236983,27.98,4.23,5.48,47.79,19.9,1.06,15.13,17.69,-5.03,2.15,1.51
2023-06-01,TITAN,Luxury Goods,Consumer Cyclical,2827.25,251626,77.23,21.23,6.63,183.67,50.5,0.26,27.42,28.65,8,17.99,6.13
2023-06-01,DMART,Discount Stores,Consumer Defensive,3500.9,226951,95.94,14.11,5.3,86.28,60.37,0,14.79,-9.63,-12.6,1.09,-1.27
2023-06-01,ULTRACEMCO,Building Materials,Basic Materials,7842.8,226082,44.68,4.16,3.57,24.93,21.3,0.48,9.32,31.25,8.37,8.69,5.18
2023-06-01,BAJAJFINSV,Financial Conglomerates,Financial Services,1450.15,230687,36.25,4.97,2.93,-5.84,16.56,0.32,13.83,15.12,-11.72,6.99,7.49
2023-06-01,WIPRO,Information Technology Services,Technology,407.15,223038,19.69,2.86,2.46,17.08,12.11,1.47,14.53,-13.51,-1.27,4.28,4.84
2023-06-01,ADANIENT,Thermal Coal,Energy,2492.15,284106,114.42,8.6,2.23,16.12,33.81,0.04,7.48,15.87,-36.47,32.6,29.81
2023-06-01,ONGC,Oil & Gas Integrated,Energy,153.65,193296,5.27,0.69,0.28,2.25,4.17,9.11,13.08,2.6,9.05,-0.39,-6.45
2023-06-01,NTPC,Utilities - Regulated Electric,Utilities,174.4,169110,10,1.15,0.96,3.59,7.86,4.29,11.5,11.22,1.31,1.04,-0.68
2023-06-01,JSWSTEEL,Steel,Basic Materials,693.85,166827,40.48,2.54,1.02,7.15,11.59,2.51,6.31,21.83,-6.62,1.69,-5.97
2023-06-01,POWERGRID,Utilities - Regulated Electric,Utilities,174.75,162529,10.54,1.96,3.56,4.04,6.98,5.26,18.57,1.66,6.01,4.91,-2.95
2023-06-01,M&M,Auto Manufacturers,Consumer Cyclical,1318.9,164010,14.34,2.91,1.35,-23.18,10.92,0.78,18.24,25.93,4.29,3.97,6.6
2023-06-01,LTIM,Information Technology Services,Technology,4969.3,146996,33.39,8.86,4.43,47.5,21.86,1.06,26.57,18.22,2.7,5.5,9.26
2023-06-01,TATAMOTORS,Auto Manufacturers,Consumer Cyclical,535.2,204974,85.09,4.52,0.6,5.79,8.19,0,5.33,20.38,22.92,25.05,11.44
2023-06-01,ADANIGREEN,Utilities - Renewable,Utilities,993.95,157445,183.72,21.56,20.25,21.67,37.37,0,13.34,-46.23,-51.8,76.94,1.98
