date,symbol,industry,sector,cmp,marketCap,priceToEarnings,priceToBook,priceToSales,priceToCashflow,enterpriseToEbitda,dividendYield,returnOnEquity,debtToEquity,returnOnCapitalEmployed,priceToEarningsGrowth,return12M,return6M,return3M,return1M
2024-06-28,RELIANCE,Oil & Gas Refining & Marketing,Energy,3130.8,2118329,30.43,2.67,2.35,13.34,13.98,0.29,8.77,0.44,8.2,6.96,34.1,21.12,5.35,8.65
2024-06-28,TCS,Information Technology Services,Technology,3904.15,1412556,31.01,15.61,5.86,31.86,21.04,1.78,50.73,0.09,59.22,3.34,21.42,2.92,0.72,2.64
2024-06-28,HDFCBANK,Banks - Regional,Financial Services,1683.8,,,,,,,,,,,,0.46,-1.49,16.29,11.64
2024-06-28,ICICIBANK,Banks - Regional,Financial Services,1199.6,,,,,,,,,,,,27.96,20.37,9.72,8.86
2024-06-28,BHARTIARTL,Telecom Services,Communication Services,1444.05,872821,112.82,10.64,5.82,11.06,14.66,0.48,9.1,2.63,12.67,-9.29,65.56,39.9,17.54,4.86
2024-06-28,SBIN,Banks - Regional,Financial Services,848.95,757655,11.29,1.83,2.26,35.02,3.03,1.33,16.17,1.54,1.67,0.55,48.99,32.22,12.84,3.2
2024-06-28,INFY,Information Technology Services,Technology,1566.75,648627,2061.51,614.29,349.44,2060.44,1473.98,0.03,29.99,0.09,32.42,292.73,21.14,1.55,4.59,7.98
2024-06-28,LICI,Insurance - Life,Financial Services,988.75,625385,17.37,7.56,0.78,24.67,16.17,0,43.5,0,14.99,-1.44,59.48,18.77,7.92,-0.96
2024-06-28,ITC,Tobacco,Consumer Defensive,424.9,530476,25.94,7.12,7.54,30.88,18.47,3.75,27.46,0,31.28,4.36,-5.44,-8.05,-0.81,-1.4
2024-06-28,HINDUNILVR,Household & Personal Products,Consumer Defensive,2473.05,581066,56.54,11.34,9.53,37.56,37.6,1.62,20.07,0.03,20.49,36.37,-7.07,-7.17,9.22,4.2
2024-06-28,LT,Engineering & Construction,Industrials,3548.45,487795,37.8,5.65,2.21,26.7,23.47,0.86,15.12,1.35,12.15,1.45,46.54,0.64,-5.72,-2.38
2024-06-28,BAJFINANCE,Credit Services,Financial Services,7115.55,439747,30.15,5.73,12.81,-6.04,17.11,0.41,18.84,3.04,6.37,1.23,0.36,-2.9,-1.79,4.54
2024-06-28,HCLTECH,Information Technology Services,Technology,1459.6,395259,25.23,5.79,3.6,17.61,15.24,3.56,23,0.08,25.99,4.5,24.73,-0.44,-5.44,7.87
2024-06-28,MARUTI,Auto Manufacturers,Consumer Cyclical,12033.85,378348,28.05,4.42,2.8,22.52,16.43,0.72,15.75,0,14.84,0.44,26.13,16.81,-4.5,-5.9
2024-06-28,SUNPHARMA,Drug Manufacturers - Specialty & Generic,Healthcare,1520.85,364903,38.1,5.73,7.64,30.07,25.99,0.79,15.04,0.05,15.23,2.92,48.84,20.76,-6.15,2.83
2024-06-28,ADANIENT,Thermal Coal,Energy,3177.15,362196,116.64,9.27,3.76,35.12,34.1,0.04,8.29,1.67,7.53,4.65,32.27,11.52,-0.62,-2.51
2024-06-28,KOTAKBANK,Banks - Regional,Financial Services,1802.5,358323,19.71,2.76,5,22.84,7.76,0.09,14.01,0.58,3.42,0.89,-2.07,-5.53,0.95,6.79
2024-06-28,TITAN,Luxury Goods,Consumer Cyclical,3404.2,301974,86.44,32.15,6.46,178.16,54.43,0.29,37.22,1.65,31.34,11.43,12.42,-7.38,-10.46,0.7
2024-06-28,ONGC,Oil & Gas Integrated,Energy,274.2,344952,7.01,1.02,0.54,3.48,4.58,3.74,14.6,0.45,14.29,0.21,72.94,33.72,2.29,0.86
2024-06-28,TATAMOTORS,Auto Manufacturers,Consumer Cyclical,989.75,379297,12.08,4.47,0.87,5.58,6.89,0.2,36.98,1.26,45.88,0.01,68.71,26.9,-0.31,4.89
2024-06-28,NTPC,Utilities - Regulated Electric,Utilities,378.35,366874,17.63,2.28,2.06,9,10.79,2.02,12.95,1.48,9.2,0.76,100.08,21.6,12.67,3.77
2024-06-28,AXISBANK,Banks - Regional,Financial Services,1265.25,390529,14.88,2.49,5.1,-70.31,5.13,0.08,16.8,1.45,2.6,0.1,29.34,14.78,20.82,9.1
