signal,symbol,cmp,sma200,sma50,sma20
BUY,INFY,1427.45,1500.08,1469.47,1439.92
SELL,COALINDIA,482.15,354.71,444.49,450.84
SELL,BAJAJ-AUTO,8968.5,6688.61,8842.23,8881.02
SELL,BEL,290.65,170.07,218.79,232.69
SELL,ABB,8264.65,4881.13,6197.79,6641.7
SELL,PIDILITIND,2998.8,2647.4,2911.26,2928.31
SELL,EICHERMOT,4742.95,3801.65,4247.7,4623.34
SELL,HAVELLS,1860.6,1368.11,1468.3,1504.78
SELL,CUMMINSIND,3596.8,2063.94,2707.13,2814.94
SELL,CGPOWER,647.4,461.68,551.8,605.63
SELL,BOSCHLTD,30610.35,23010.04,29644.06,29722.56
SELL,MAZDOCK,3295.1,2083.13,2125.79,2265.55
BUY,BERGEPAINT,477.55,565.57,523.82,495.43
