Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ASHOKLEY,236.5,179.57,189.53,210.2
SELL,BHARATFORG,1608.25,1169.32,1297.08,1472.8
SELL,CONCOR,1174.25,846.18,985.54,1060.25
SELL,DIXON,9886,6356.37,8153.55,8828.64
SELL,ESCORTS,3890.35,3096.8,3304.89,3718.13
SELL,GODREJPROP,2964.75,2096.77,2601.09,2800.22
SELL,HDFCAMC,4090.2,3230.48,3762.7,3808.19
SELL,HINDPETRO,582.4,393.71,497.16,524.58
SELL,INDUSTOWER,364,230.42,326.71,341.51
SELL,OBEROIRLTY,1883.95,1347.67,1554.22,1674.74
SELL,POLYCAB,6929.15,5158.29,5613.54,6115.99
SELL,SUZLON,50,36.67,41.76,43.47
