Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABB,8728,5174.53,7019.6,7997.71
SELL,ADANIGREEN,2038,1448.16,1840.44,1838.92
SELL,ADANIPOWER,874.5,487.52,614.79,664.34
SELL,AMBUJACEM,670.8,518.12,604.33,587.17
SELL,BANKBARODA,296.95,231.53,264.74,265.14
SELL,BEL,318.65,178.94,237.28,262.16
SELL,CANBK,128.25,93.66,117.54,115.58
SELL,GAIL,230.8,156.58,196.74,200.93
SELL,HAL,5273.65,2821.05,3962.78,4533.96
SELL,IRFC,188.95,111.45,154.5,167.61
SELL,PFC,554.8,351.4,428.98,465.71
SELL,RECLTD,604.5,391.17,490.5,541.46
SELL,MOTHERSON,149.45,107.69,127.16,134.94
