Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,CHOLAFIN,1337.85,1174.82,1221.43,1269.71
SELL,COLPAL,2963.5,2392.55,2745.67,2753.74
SELL,DABUR,613.1,541.68,534.7,560.71
SELL,GODREJCP,1427.9,1128.53,1263.38,1324.51
SELL,ICICIGI,1655.15,1492.19,1665.88,1636.77
SELL,MARICO,653,542.43,551.98,606.04
SELL,MOTHERSON,156.7,108.75,130.2,139.74
SELL,TVSMOTOR,2407.65,1876.13,2110.56,2208.77
SELL,TORNTPHARM,2844.95,2306.61,2640.27,2685.16
SELL,TRENT,4964.6,3185.53,4349.71,4654.58
SELL,MCDOWELL-N,1305.45,1097.13,1178.96,1198.28
SELL,VBL,1518.6,1206.6,1457.25,1480.8
