Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,CROMPTON,411.8,305.2,333.16,381.76
SELL,FINCABLES,1560.8,1043.49,1122.94,1294.55
SELL,FIVESTAR,812.15,733.8,733.41,739.58
SELL,GESHIP,1187.85,921.36,1028.96,1048.98
SELL,KARURVYSYA,215.1,165.82,193.25,196.47
SELL,NATCOPHARM,1097.75,893.34,1002.49,1015.48
SELL,NCC,332.35,201.83,263.61,285.09
SELL,PPLPHARMA,157.15,125.46,143.99,149.09
SELL,RAYMOND,2555.9,1870.42,2091.13,2229.67
SELL,TEJASNET,1285.9,867.23,1013.46,1173.76
SELL,ZENSARTECH,688.4,559.74,612.12,624.3
