Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABSLAMC,598.65,471.66,522.62,542.51
SELL,BAJAJ-AUTO,9733.05,6999.92,9028.82,9130.38
SELL,CMSINFO,474.55,384.32,413.39,434.17
SELL,COROMANDEL,1439.5,1148.99,1205.28,1290.71
SELL,EMAMILTD,732.25,506.46,512.86,583.84
SELL,GANESHHOUC,994.7,579.86,796.73,824.78
SELL,GILLETTE,7648.35,6413.54,6767.28,7078.57
SELL,GPIL,1049.45,727.38,872.07,932.9
SELL,GRINDWELL,2652.1,2176.82,2214.81,2430.27
SELL,HEROMOTOCO,5722.2,4004.75,4791.95,5208.27
SELL,JBCHEPHARM,1881.3,1582.57,1775.51,1773.57
SELL,KEI,4565.7,3157.72,3930.55,4165.5
SELL,MCDOWELL-N,1305.45,1097.13,1178.96,1198.28
SELL,NATCOPHARM,1097.75,893.34,1002.49,1015.48
SELL,NBCC,142.96,97.92,134.74,141.01
SELL,PIDILITIND,3174.05,2685.2,2986.5,3030.13
SELL,SANOFI,9967.2,8062.88,8509.27,8776.23
SELL,SUPREMEIND,5999.4,4404.13,4891.94,5523.2
SELL,ZENSARTECH,688.4,559.74,612.12,624.3
