Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABSLAMC,618.7,472.76,525.88,546.86
SELL,BAJAJ-AUTO,9812.7,7025.9,9045.87,9171.4
SELL,BASF,4694.55,3179.58,4013.52,4409.3
SELL,BLUESTARCO,1643.25,1113.3,1461.04,1545.71
SELL,CMSINFO,482.95,384.93,415.31,438.62
SELL,COROMANDEL,1466.35,1151,1213.35,1303.83
SELL,ELECON,1177.55,947.75,1076.03,1117.03
SELL,GANESHHOUC,1002.05,582.78,801.94,834.66
SELL,GILLETTE,7843.85,6425.46,6792.33,7126.33
SELL,GLAXO,2655.75,1880.33,2149.98,2402.41
SELL,GPIL,1051.6,729.72,879.49,940.76
SELL,HEROMOTOCO,5786.6,4018.63,4814.26,5253.33
SELL,JBCHEPHARM,1884.7,1585.31,1780.88,1778.14
SELL,LALPATHLAB,2802.05,2435.01,2442.2,2639.87
SELL,MCDOWELL-N,1315.1,1098.77,1182.57,1203.92
SELL,NATCOPHARM,1172.35,895.08,1006.77,1025.37
SELL,NBCC,156.58,98.46,135.58,142.34
SELL,PIDILITIND,3175.4,2688.39,2989.98,3040.6
SELL,POLYCAB,6997.9,5255.88,5980.06,6687.93
SELL,SANOFI,10051.5,8077.6,8556.13,8879.05
SELL,SUNTV,753.1,642.17,650.4,682.9
SELL,SUPREMEIND,6155.35,4414.21,4936.04,5566.24
SELL,ZENSARTECH,692.2,560.69,613.96,628.5
