Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,AAVAS,1853.8,1545.64,1604.35,1659.09
SELL,BEML,4716.15,2953.6,3775.36,4238.77
SELL,BIKAJI,725.55,530.7,560.04,607.46
SELL,BLUESTARCO,1736.35,1127.66,1486.11,1573.4
SELL,CENTURYTEX,2245.45,1442.72,1974,2110.82
SELL,CHEMPLASTS,621.5,477.7,487.2,499.09
SELL,CHOLAHLDNG,1287.85,1085.43,1123.06,1157.99
SELL,COCHINSHIP,2122.35,862.64,1470.09,1869.47
SELL,CROMPTON,426.55,307.81,345.38,399.16
SELL,EIDPARRY,728,568.36,637.1,675.27
SELL,FINCABLES,1594.55,1054.2,1170.04,1401.75
SELL,GRSE,1630,889.49,1099.45,1356.71
SELL,GLENMARK,1237.15,895.79,1078.5,1143.36
SELL,GPIL,1078.85,736.88,898.65,964.72
SELL,GODFRYPHLP,4093.35,2619.85,3499.54,3861.91
SELL,GESHIP,1215.8,929.86,1044.39,1078.36
SELL,HFCL,117.95,86.28,98.83,102.05
SELL,HOMEFIRST,1072.3,903.29,875,859.53
SELL,IEX,179.67,144.17,153.86,160.68
SELL,JKPAPER,490.8,381.27,376.06,396.67
SELL,KNRCON,388.7,272.94,283.28,319.82
SELL,KAYNES,3797.85,2620.37,2890.31,3356.41
SELL,KEC,935.5,671.84,757.21,786.37
SELL,NATCOPHARM,1210.6,900.09,1019.9,1054.58
SELL,NBCC,159.47,100.11,137.88,145.54
SELL,PPLPHARMA,157.86,126.58,146.38,149.96
SELL,POLYMED,1985.45,1527.91,1681.18,1806.87
SELL,PRAJIND,700.15,539.54,537.19,555.77
SELL,SOBHA,2181.15,1222.7,1793.06,1947.37
SELL,SUNTECK,562.15,443.82,454.03,485.33
SELL,UTIAMC,1001.05,849.01,928.44,942.16
SELL,VARROC,681.3,514.77,548.54,587.95
