Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABSLAMC,679.1,476.74,537.86,564.98
SELL,BASF,4952.7,3215.48,4104.85,4453.74
SELL,BLUESTARCO,1736.35,1127.66,1486.11,1573.4
SELL,CARBORUNIV,1773.95,1225.02,1488.71,1647.84
SELL,COROMANDEL,1508.8,1157.36,1237.75,1342.13
SELL,GODFRYPHLP,4093.35,2619.85,3499.54,3861.91
SELL,GRINDWELL,2714.65,2186.39,2275.35,2511.26
SELL,MSUMI,73.91,64.89,68.84,68.15
SELL,NATCOPHARM,1210.6,900.09,1019.9,1054.58
SELL,PETRONET,323.9,252.63,301.69,305.12
SELL,SKFINDIA,6921.2,4883.23,5270.7,6143.05
SELL,SUMICHEM,497.55,404.29,421.54,463.4
SELL,TIMKEN,4579.35,3160.87,3562.63,4068
