Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,ABCAPITAL,236.06,187.48,220.55,227.81
SELL,ABFRL,330.5,236.54,271.05,302.84
SELL,BALKRISIND,3345.6,2531.34,2705.66,3126.76
SELL,BDL,1627.3,810.25,1153.92,1463.17
SELL,CARBORUNIV,1783.05,1228.32,1497.95,1650.44
SELL,COROMANDEL,1530.15,1159.66,1245.69,1355.62
SELL,DIXON,11546.85,6628.9,8742.49,9769.18
SELL,EMAMILTD,740.7,511.4,540.94,633.32
SELL,ENDURANCE,2729.6,1830.05,2099.02,2329.65
SELL,ESCORTS,4302.1,3167.69,3567.37,3965.58
SELL,FEDERALBNK,175.09,151.87,160.86,165.03
SELL,GMRINFRA,97.84,74.29,84.96,87.24
SELL,GODREJPROP,3088.9,2163,2721.58,2833.29
SELL,INDHOTEL,621.45,488.56,580.53,576.77
SELL,JSWENERGY,706.7,481.55,612.03,626.55
SELL,LICHSGFIN,748.85,559.55,654.04,663.52
SELL,LLOYDSME,747.7,597.72,697.22,700.5
SELL,LODHA,1592.2,1022.49,1267.24,1393.75
SELL,MAZDOCK,4178.25,2228.35,2651,3205.99
SELL,MSUMI,78.75,64.98,69.05,68.65
SELL,PHOENIXLTD,3804.55,2461.53,3121.68,3276.26
SELL,POLYCAB,7110.25,5300.58,6136.01,6812.32
SELL,PRESTIGE,1935.15,1105.42,1500.05,1699.51
SELL,TIMKEN,4712.65,3168.57,3598.26,4092.86
SELL,TIINDIA,4363.25,3489.14,3778.51,3888.39
SELL,UNOMINDA,1070.7,680.05,797.26,899.7
SELL,VOLTAS,1536.15,1050.29,1371.12,1410.58
