Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,BAJAJHIND,42.52,30.51,33.49,34.24
SELL,BEPL,119.02,96.89,99.38,98.04
SELL,CHOICEIN,374,258.02,334.22,354.84
SELL,DBL,525.7,394.68,448.85,439.08
SELL,GODREJAGRO,618.5,519.23,552.49,557.11
SELL,GRAVITA,1415.9,972.58,1042.13,1147.25
SELL,GREENPLY,305.85,221.28,261.91,270.13
SELL,KIRLOSENG,1322.35,765.81,1110.6,1265.66
SELL,NFL,125.91,90.27,103.72,107.58
SELL,NAVA,720.6,467.15,527.42,564.55
SELL,NETWEB,2660.55,1361.45,2025.85,2334.17
SELL,ORIENTELEC,248,218.44,222.94,232.85
SELL,PGEL,3182.45,2062.26,2285.81,2717.46
SELL,PARAS,1446.35,747.26,808.94,948.64
SELL,PRICOLLTD,503.25,377.86,434.27,448.76
SELL,RALLIS,328,249.27,276.89,283.37
SELL,SANSERA,1272.1,979.55,1053.15,1090.15
SELL,SENCO,1029.35,739.73,901.45,914.42
SELL,SUDARSCHEM,867.35,574.59,741.19,800.47
SELL,TIRUMALCHM,312.3,233.15,268.01,271.01
SELL,THOMASCOOK,240.25,160.4,204.29,212.15
SELL,UFLEX,511.65,445.35,441.71,441.59
SELL,VSTTILLERS,4172.7,3512.32,3459.6,3610.86
