Signal,Symbol,CMP,SMA200,SMA50,SMA20
SELL,3MINDIA,37965.45,31472.53,31706.17,34594.55
BUY,ALLCARGO,61.29,71.82,69.36,65.86
SELL,ASAHIINDIA,677.90,573.03,605.83,613.13
SELL,ASTRAL,2273.65,1968.82,2110.78,2170.08
SELL,BAYERCROP,6513.25,5451.39,5535.77,5643.32
SELL,BIKAJI,728.90,535.57,575.40,645.16
SELL,BIOCON,345.70,270.30,306.06,325.78
SELL,MAPMYINDIA,2531.50,1951.53,1966.92,2005.51
SELL,CHEMPLASTS,561.25,479.64,495.98,517.92
SELL,CUMMINSIND,3899.95,2433.95,3473.64,3675.26
SELL,EIDPARRY,783.70,574.72,652.84,703.54
SELL,ESCORTS,4334.50,3187.27,3641.66,4025.88
SELL,FACT,1134.45,702.62,720.06,773.64
SELL,FIVESTAR,823.15,734.83,744.93,767.86
SELL,GMRINFRA,97.97,74.84,85.74,88.86
SELL,GPIL,1135.50,747.18,927.11,998.67
SELL,GRANULES,490.65,398.52,430.24,453.29
SELL,JSWENERGY,723.65,486.85,619.35,641.47
SELL,JSWSTEEL,936.90,826.08,888.03,905.33
SELL,JINDALSTEL,1077.25,787.83,982.93,1035.83
SELL,KALYANKJIL,453,346.60,408.09,405.58
SELL,KAYNES,3902.75,2661.68,2982.83,3464.75
SELL,LODHA,1594.80,1035.75,1293.45,1435.55
SELL,MHRIL,480.80,404.74,411.18,415.67
SELL,NBCC,166.07,102.35,140.44,148.58
SELL,NAM-INDIA,664.45,469.26,589.63,617.14
SELL,OIL,699.80,455.30,635.24,651.11
SELL,PHOENIXLTD,3597.90,2489.76,3168.90,3344.19
SELL,POLYMED,2067.80,1539.41,1715.60,1856.87
SELL,PRAJIND,688.60,543.53,548.92,588.78
SELL,RVNL,409.75,230.76,320.51,381.68
SELL,RAILTEL,476,330.52,397.98,412.96
SELL,RKFORGE,899.10,714.56,726.83,730.18
SELL,MOTHERSON,187.72,112.32,140.29,160.10
SELL,SUNTECK,609.60,448.40,466.54,514.32
SELL,SUZLON,53.05,38.58,44.32,48.38
SELL,TITAGARH,1582.70,978.21,1180.10,1359.57
SELL,UNOMINDA,1081.05,686.82,818.30,943.13
SELL,VGUARD,424.80,320.66,367.10,391.22
SELL,WHIRLPOOL,1847.20,1476.24,1541.52,1645.04
SELL,ZENSARTECH,752.05,567.71,627.83,661.77
