symbol,industry,sector,cmp,marketCap,sum,priceToEarnings,priceToEarningsDecile,priceToBook,priceToBookDecile,priceToSales,priceToSalesDecile,priceToCashflow,priceToCashflowDecile,enterpriseToEbitda,enterpriseToEbitdaDecile,dividendYield,dividendYieldDecile,return1M,return6M,return12M
OIL,Oil & Gas - Exploration & Production,Energy,696.4,71776.78,9,11.33,1,1.71,2,2.09,3,6.29,1,7.55,1,2.38,1,3.82,103.98,174.23
JSFB,Private Banks,Financials,734.85,6205.86,15,9.27,1,1.73,2,1.32,2,8.78,1,7.2,1,0,8,11.59,99.61,99.61
NCC,Construction & Engineering,Industrials,315.15,17699,14,24.9,3,2.73,3,0.84,1,16.09,2,9.78,2,0.78,3,17.96,89.79,162.41
KIRLOSIND,Investment Banking & Brokerage,Financials,6125.25,6300.24,15,32.89,4,1.28,1,0.98,1,8.28,1,11.19,2,0.2,6,-2.93,80.65,96
JKIL,Construction & Engineering,Industrials,867.35,5045.38,14,15.25,2,2.16,2,1.03,1,27.59,4,7.12,1,0.6,4,41.42,74.64,175.96
MRPL,Oil & Gas - Refining & Marketing,Energy,214.57,38320.57,11,10.65,1,3.88,4,0.42,1,6.02,1,7,1,0.91,3,0.96,63.48,172.64
TIMETECHNO,Plastic Products,Materials,297.05,6127.08,14,19.74,2,2.63,2,1.22,2,16.55,2,9.89,2,0.74,4,4.95,63.04,153.67
AVANTIFEED,Packaged Foods & Meats,Consumer Staples,639.35,7096.35,13,19.87,2,2.99,3,1.29,2,15.73,2,10.31,2,1.3,2,19.39,57.65,64.67
NAVA,Iron & Steel,Materials,720.6,7252.86,10,7.69,1,1.02,1,1.78,3,5.93,1,5.36,1,0.8,3,37.94,55.35,128.29
ASHOKA,Construction & Engineering,Industrials,222.14,5110.57,14,10.16,1,2.59,2,0.51,1,10.38,1,2.64,1,0,8,27.34,53.25,177.33
GAIL,Gas Distribution,Utilities,216.28,134427.5,12,13.58,1,2.06,2,0.99,1,41.95,5,8.91,2,2.69,1,6.73,49.78,100.26
ARVIND,Apparel & Accessories,Consumer Discretionary,369.6,9417.39,15,27.98,3,2.77,3,1.21,2,14.14,2,12.29,3,1.32,2,-0.97,48.79,180.32
EIDPARRY,Sugar,Consumer Staples,814.8,11115.26,10,12.35,1,1.17,1,0.37,1,31,4,5.09,1,1.6,2,16.06,44.88,73.49
PETRONET,Oil & Gas - Storage & Transportation,Energy,310.7,45810,12,12.54,1,3,3,0.86,1,17.83,3,7.17,1,0.98,3,1.85,43.78,37.48
ELECTCAST,Building Products - Pipes,Industrials,165.59,10305.14,14,13.93,2,2.35,2,1.36,2,22.79,3,9.73,2,0.81,3,-3.7,43.18,195.17
WELENT,Construction & Engineering,Industrials,462.25,5810.03,13,19.69,2,2.46,2,1.9,3,16.86,2,8.08,1,0.77,3,16.84,38.56,137.05
CHENNPETRO,Oil & Gas - Refining & Marketing,Energy,974.1,14506.95,7,5.28,1,2.08,2,0.22,1,2.52,1,4.04,1,5.65,1,11.23,37.54,148.27
BPCL,Oil & Gas - Refining & Marketing,Energy,615.8,141890.82,8,5.28,1,2.65,2,0.31,1,11.38,2,4.34,1,3.15,1,0.36,36.92,64.32
MAHABANK,Public Banks,Financials,65.45,48259.56,9,11.85,1,2.43,2,2.05,3,4.17,1,3.9,1,2.05,1,1.44,36.92,134.59
CANBK,Public Banks,Financials,121.16,106308.03,15,6.96,1,1.14,1,0.76,1,7.07,1,99999,10,2.75,1,6.31,35.84,98.62
ONGC,Oil & Gas - Exploration & Production,Energy,271.55,356336.41,6,7.24,1,1.18,1,0.54,1,4.23,1,4.19,1,4.32,1,-2.8,35.57,72.08
HINDPETRO,Oil & Gas - Refining & Marketing,Energy,515.5,77091.01,15,4.81,1,2.39,2,0.18,1,99999,9,4.95,1,5.8,1,5.03,35.44,89
CHAMBLFERT,Fertilizers & Agro Chemicals,Materials,467.65,16264.48,7,12.75,1,2.28,2,0.89,1,5.02,1,7.43,1,1.92,1,10.37,34.11,68.01
TATAMOTORS,Four Wheelers,Consumer Discretionary,977.35,352184.77,12,11.22,1,3.78,4,0.79,1,5.19,1,6.25,1,0.58,4,3.39,34.08,72.66
IOC,Oil & Gas - Refining & Marketing,Energy,166.75,238366.5,6,5.71,1,1.66,1,0.3,1,8.04,1,4.67,1,6.93,1,3.13,33.72,81.45
