symbol,industry,sector,cmp,marketCap,sum,priceToEarnings,priceToEarningsDecile,priceToBook,priceToBookDecile,priceToSales,priceToSalesDecile,priceToCashflow,priceToCashflowDecile,enterpriseToEbitda,enterpriseToEbitdaDecile,dividendYield,dividendYieldDecile,return1M,return6M,return12M
PDMJEPAPER,Paper & Paper Products,Basic Materials,89.45,850,11,8.65,1,1.73,2,1.08,2,6.4,1,5.78,1,0.56,4,3.17,83.86,108.02
OIL,Oil & Gas E&P,Energy,580.5,62950,11,9.94,1,1.3,2,1.94,4,5.76,1,7.67,2,3.34,1,-8.36,81.46,128.41
NATIONALUM,Aluminum,Basic Materials,176.15,32353,15,16.27,2,2.22,3,2.46,5,11.9,2,9.31,2,2.27,1,-3.77,80.76,110.96
ZUARIIND,Conglomerates,Industrials,278.95,831,11,1.16,1,0.21,1,0.99,2,11.62,2,2.88,1,0.46,4,-12.77,69.52,91.26
KIRLOSIND,Metal Fabrication,Industrials,5681.35,5641,15,29.44,5,1.16,2,0.89,2,9.78,2,9.05,2,1.02,2,6,65.87,110.85
KSL,Steel,Basic Materials,781.7,3413,15,13.72,2,2.03,3,1.74,4,11.32,2,9.51,2,1.28,2,-6.66,62.09,129.3
MRPL,Oil & Gas Refining & Marketing,Energy,199,34877,12,9.7,1,2.63,4,0.39,1,4.95,1,6.02,1,0.5,4,-13.12,55.53,205.68
SMCGLOBAL,Capital Markets,Financial Services,160.45,1680,16,8.97,1,1.53,2,1.06,2,9999999999,8,7.02,1,1.49,2,2.72,48.98,116.82
SAIL,Steel,Basic Materials,145.55,60120,13,19.62,3,1.05,1,0.57,1,20.65,4,8.16,2,1.03,2,-10.65,48.37,74.94
ELECTCAST,Steel,Basic Materials,156.6,9681,15,12.73,2,1.89,3,1.29,3,12.02,2,9.16,2,0.87,3,-14.29,41.85,200
NDL,Textile Manufacturing,Consumer Cyclical,40.4,583,13,12.95,2,1,1,0.29,1,2.53,1,5.87,1,0,7,6.32,41.01,98.04
KCP,Building Materials,Basic Materials,201.25,2595,14,13.76,2,1.84,3,0.91,2,24.64,4,9.14,2,1.92,1,19.26,39.81,83.79
CENTENKA,Textile Manufacturing,Consumer Cyclical,593.1,1296,15,30.32,5,0.95,1,0.74,1,14.72,3,11.91,3,1.69,2,14.04,39.27,47.7
GAIL,Utilities - Regulated Gas,Utilities,195.15,128313,11,12.96,2,1.67,2,0.96,2,10.2,2,8.77,2,2.82,1,-1.34,39.05,86.39
MAHABANK,Banks - Regional,Financial Services,63.65,45073,13,10.97,1,2.27,3,3.52,6,3.89,1,1.47,1,1.94,1,-4.72,37.77,109.38
PETRONET,Oil & Gas Refining & Marketing,Energy,287.75,43163,12,11.82,1,2.48,4,0.82,2,8.86,2,7.48,2,3.48,1,-5.72,37.02,28.78
GOACARBON,Specialty Chemicals,Basic Materials,737,675,9,7.89,1,2.72,4,0.64,1,3.44,1,5.97,1,3.73,1,-13.45,36.96,52.73
IOC,Oil & Gas Refining & Marketing,Energy,159.25,224881,7,5.26,1,1.23,2,0.29,1,3.16,1,4.48,1,4.88,1,-4.21,34.05,78.13
HINDPETRO,Oil & Gas Refining & Marketing,Energy,336.83,47781,6,2.98,1,1.02,1,0.11,1,2,1,3.99,1,4.46,1,-1.66,33.84,92.58
HINDALCO,Aluminum,Basic Materials,695.25,155524,12,15.31,2,1.47,2,0.72,1,6.47,1,7.88,2,0.43,4,8.84,33.61,67.31
BALMLAWRIE,Conglomerates,Industrials,229.5,3925,15,15,2,2.16,3,1.68,4,14.31,3,9.54,2,3.27,1,-15.25,33.55,69.44
IMFA,Steel,Basic Materials,690.6,3727,10,9.44,1,1.76,3,1.34,3,7.28,1,5.97,1,1.82,1,-4.45,32.26,146.73
GULFOILLUB,Specialty Chemicals,Basic Materials,876.25,4309,15,13.99,2,3.33,5,1.31,3,12.62,2,8.12,2,4.67,1,-8.68,32.16,90.68
CANBK,Banks - Regional,Financial Services,115.2,20899,14,1.37,1,0.23,1,0.31,1,1.39,1,9999999999,9,10.42,1,-2.67,31.34,84.76
COALINDIA,Thermal Coal,Energy,460.55,283825,16,7.59,1,3.43,5,2.18,5,15.68,3,5.04,1,5.32,1,-0.01,31.21,102.17
