Symbol,Industry,Sector,CMP,Market Cap,Sum,PE,PE Decile,PB,PB Decile,PS,PS Decile,PCFO,PCFO Decile,EVEBITDA,EVEBITDA Decile,Dividend Yield,Dividend Yield Decile,ROE,Debt to Equity,ROCE,PEG,return1M,return3M,return6M,return12M
PDMJEPAPER,Paper & Paper Products,Basic Materials,111.99,1064,12,10.83,1,2.16,3,1.35,2,8.01,1,7.21,1,0.45,4,19.93,0.04,21.04,0.17,13.47,78.19,115.78,173.48
ZUARIIND,Conglomerates,Industrials,374.35,1115,12,1.56,1,0.28,1,1.33,2,15.6,3,3.14,1,0.34,4,18.22,0.61,0.46,0.01,18.73,13.99,89.69,159.88
KSL,Steel,Basic Materials,917.6,4006,15,16.1,2,2.38,3,2.04,4,13.28,2,10.92,2,1.09,2,14.81,0.35,17.31,0.33,5.46,7.16,89.37,164.02
OIL,Oil & Gas E&P,Energy,700.9,76006,11,12,1,1.57,2,2.34,4,6.95,1,8.83,2,2.77,1,13.11,0.5,13.34,-0.44,4.88,16.77,88.34,186.61
NDL,Textile Manufacturing,Consumer Cyclical,47.99,692,13,15.38,2,1.18,1,0.34,1,3,1,6.58,1,0,7,7.68,0.56,10.67,0,28.14,48.58,79.74,137.57
KIRLOSIND,Metal Fabrication,Industrials,6077,6033,13,31.49,4,1.24,1,0.95,2,10.46,2,9.57,2,0.95,2,3.95,0.25,7.79,-2.32,-1.47,47.69,72.04,76.86
ASHOKA,Engineering & Construction,Industrials,236.51,6640,15,13.2,1,2.99,4,0.68,1,8.87,1,4.6,1,0,7,22.66,2.45,18.81,0.18,32.65,51.03,69.85,189.66
NAVA,Conglomerates,Industrials,739.8,10735,13,11.37,1,1.55,2,2.81,5,3.38,1,6.56,1,0.81,3,13.66,0.06,15.53,6.55,46.61,52.33,68.81,130.5
MRPL,Oil & Gas Refining & Marketing,Energy,218.57,38307,12,10.65,1,2.88,4,0.42,1,5.44,1,6.46,1,0.46,4,27.08,0.96,27.92,0.3,0.15,0.01,64.15,177.73
SMCGLOBAL,Capital Markets,Financial Services,164.85,1726,16,9.22,1,1.58,2,1.09,2,9999999999,8,7.12,1,1.45,2,17.09,1.34,10.01,0.16,3.13,32.04,62.65,120.09
ELECTCAST,Steel,Basic Materials,176.85,10933,15,14.38,2,2.14,3,1.46,3,13.57,2,10.14,2,0.77,3,14.47,0.46,16.97,0.11,4.37,-0.76,59.76,209.99
KCP,Building Materials,Basic Materials,243.52,3140,15,16.65,2,2.23,3,1.1,2,29.82,5,10.77,2,1.59,1,13.37,0.34,12.79,0.05,33.84,40.12,58.44,128.66
IMFA,Steel,Basic Materials,755.95,4079,9,10.34,1,1.92,2,1.47,3,7.96,1,6.51,1,1.67,1,18.61,0.09,23.33,0.14,4.22,18.19,51.39,131.46
DLINKINDIA,Communication Equipment,Technology,469.8,1669,15,18.01,2,3.83,5,1.35,2,13.84,2,12.6,3,2.13,1,21.29,0.02,25.37,2.48,13.88,72.97,45.22,79.11
GOACARBON,Specialty Chemicals,Basic Materials,829.85,760,9,8.88,1,3.07,4,0.72,1,3.87,1,6.57,1,3.31,1,34.54,1.35,48.92,1.51,-3.91,12.45,45.13,55.08
MAHABANK,Banks - Regional,Financial Services,64.66,45789,13,11.15,1,2.3,3,3.57,6,3.95,1,1.52,1,1.91,1,20.49,0.39,2.11,0.22,-8.41,3.7,43.21,135.56
NFL,Agricultural Inputs,Basic Materials,130.99,6427,15,42.83,5,2.52,3,0.27,1,9.62,2,13.06,3,2.13,1,5.87,1.6,5.79,-0.64,21.12,49.53,43.16,85.41
GIPCL,Utilities - Regulated Electric,Utilities,246.74,3732,13,18.81,2,1.13,1,2.77,5,6.65,1,8.17,2,1.52,2,6.01,0.19,4.64,3.67,33.12,51.33,41.64,146.99
NATIONALUM,Aluminum,Basic Materials,186.9,34327,15,17.26,2,2.36,3,2.61,5,12.62,2,9.88,2,2.14,1,13.65,0.01,13.07,0.45,-3.83,22.52,41.64,127.23
SANDESH,Publishing,Communication Services,1590.3,1204,15,6.38,1,0.95,1,3.74,6,7.82,1,4.6,1,0.31,5,14.95,0,5.79,0.07,26.77,35.56,41.59,72.84
MANINDS,Steel,Basic Materials,403.65,2614,14,24.85,3,1.86,2,0.83,1,10.15,2,9.39,2,0.46,4,7.48,0.23,11.36,0.55,12.53,11.27,41.53,155.15
PETRONET,Oil & Gas Refining & Marketing,Energy,314.75,47213,10,12.93,1,2.71,3,0.9,2,9.69,2,8.17,1,3.18,1,20.98,0.17,20.73,1.31,4.31,19.59,41.37,43
CHAMBLFERT,Agricultural Inputs,Basic Materials,520.55,20856,13,16.88,2,2.87,4,1.16,2,6.27,1,9.53,2,1.5,2,17.54,0.26,18.27,0.7,27.23,52.21,39.41,90.57
CENTENKA,Textile Manufacturing,Consumer Cyclical,603.85,1320,13,30.87,4,0.97,1,0.76,1,14.98,3,12.12,3,1.66,1,3.13,0.04,2.15,-0.59,1.16,50.16,38.99,38.2
ARVIND,Textile Manufacturing,Consumer Cyclical,361.2,9451,15,28.09,4,2.67,3,1.22,2,13.57,2,12.43,3,1.63,1,9.5,0.41,13.93,-1.65,3.23,33.56,38.15,168.55
